disease_name,gene_symbol,protein_uniprot_id
Alzheimer's disease 3,PSEN1,P49768
Autosomal recessive lymphoproliferative disease,CD27,P26842
Combined immunodeficiency due to STK4 deficiency,STK4,Q13043
"Distal myopathy, Welander type",TIA1,P31483
Familial cortical myoclonus,NOL3,O60936
Gamstorp-Wohlfart syndrome,HINT1,P49773
Hypocomplementemic urticarial vasculitis,DNASE1L3,Q13609
Hypoinsulinemic hypoglycemia and body hemihypertrophy,AKT2,P31751
Infantile multisystem neurologic-endocrine-pancreatic disease,PTRH2,Q9Y3E5
Lhermitte-Duclos disease,PTEN,P60484
Li-Fraumeni syndrome,TP53,P04637
Proteus syndrome,PTEN,P60484
Proteus-like syndrome,PTEN,P60484
Severe motor and intellectual disabilities-sensorineural deafness-dystonia syndrome,BCAP31,P51572
THOC6-related developmental delay-microcephaly-facial dysmorphism syndrome,THOC6,Q86W42
autoimmune lymphoproliferative syndrome type 2B,CASP8,Q14790
autosomal dominant familial periodic fever,TNFRSF1A,P19438
autosomal recessive spinocerebellar ataxia 12,WWOX,Q9NZC7
choroid plexus carcinoma,TP53,P04637
hereditary spastic paraplegia 61,ARL6IP1,Q15041
hypomyelinating leukodystrophy 3,AIMP1,Q12904
osteosarcoma,TP53,P04637
