序号	地区	总人口	比重	男性	女性	15岁以下	15-64岁	65岁以上	大学	高中	初中	小学	文盲
1	广东	104,303	7.79	54,397	49,906	17,618	79,646	7,039	8,567	17,807	44,760	23,944	2,042
2	山东	95,793	7.15	48,447	47,346	15,074	71,289	9,430	8,329	13,323	38,468	23,912	4,757
3	河南	94,024	7.02	47,490	46,534	19,746	66,419	7,859	6,016	12,423	39,923	22,668	3,991
4	四川	80,418	6.00	40,831	39,587	13,644	57,966	8,808	5,368	9,045	28,057	27,847	4,377
5	江苏	78,660	5.87	39,630	39,030	10,230	59,862	8,568	8,507	12,698	30,418	19,017	2,995
6	河北	71,854	5.36	36,430	35,424	12,093	53,841	5,920	5,243	9,132	31,903	17,720	1,877
7	湖南	65,684	4.90	33,768	31,915	11,574	47,686	6,424	4,989	10,129	25,963	17,594	1,754
8	安徽	64,501	4.44	30,246	29,255	10,699	42,745	6,057	3,985	6,410	22,619	16,629	4,965
9	湖北	57,238	4.27	29,393	27,845	7,964	44,070	5,204	5,456	9,502	22,676	13,091	2,619
10	浙江	54,427	4.06	27,966	26,461	7,189	39,679	7,559	5,078	7,381	19,964	15,685	3,061
11	广西壮族自治区	46,027	3.44	23,926	22,100	9,991	31,782	4,253	2,751	5,079	17,842	14,581	1,249
12	云南	45,966	3.43	23,850	22,116	9,528	32,932	3,506	2,656	3,850	12,631	19,944	2,770
13	江西	44,567	3.33	23,085	21,483	9,750	31,431	3,386	3,052	5,493	16,842	13,373	1,394
14	辽宁	43,746	3.27	22,148	21,599	4,997	34,240	4,509	5,234	6,469	19,829	9,365	844
15	黑龍江省	38,312	2.86	19,460	18,852	4,580	30,543	3,188	3,474	5,743	17,272	9,225	788
16	陕西	37,327	2.79	19,288	18,040	5,489	28,654	3,184	3,940	5,888	14,981	8,741	1,398
17	福建	36,894	2.75	18,981	17,913	5,706	28,276	2,912	3,085	5,119	13,978	10,995	900
18	山西	35,712	2.67	18,339	17,373	6,106	26,901	2,705	3,114	5,619	16,115	7,805	762
19	贵州	34,746	2.59	17,951	16,795	8,765	23,005	2,977	1,839	2,530	10,351	13,681	3,039
20	重庆	28,846	2.15	14,596	14,250	4,898	20,614	3,334	2,493	3,811	9,514	9,747	1,239
21	吉林	27,462	2.05	13,912	13,550	3,293	21,867	2,303	2,716	4,632	11,553	6,607	527
22	甘肃	25,575	1.91	13,064	12,511	4,644	18,826	2,106	1,923	3,245	7,983	8,313	2,223
23	内蒙古自治区	24,706	1.84	12,831	11,875	3,483	19,356	1,868	2,522	3,737	9,689	6,280	1,005
24	上海	23,019	1.72	11,855	11,164	1,986	18,704	2,330	5,053	4,826	8,393	3,116	631
25	新疆维吾尔自治区	21,813	1.63	11,190	10,623	4,531	15,932	1,350	2,320	2,526	7,874	6,560	516
26	北京	19,612	1.46	10,126	9,486	1,687	16,216	1,709	6,178	4,162	6,157	1,953	333
27	天津	12,938	0.97	6,907	6,031	1,268	10,568	1,102	2,262	2,672	4,936	2,206	271
28	海南	8,672	0.65	4,560	4,112	1,735	6,261	676	674	1,272	3,620	1,972	354
29	宁夏回族自治区	6,301	0.47	3,229	3,073	1,354	4,544	404	577	785	2,121	1,879	392
30	青海	5,627	0.42	2,914	2,713	1,177	4,095	355	485	587	1,428	1,984	576
31	西藏自治区	3,002	0.22	1,543	1,460	732	2,118	153	165	131	386	1,098	
