省份	总人口	文盲	城市	经度	纬度
广东省	104,303	2,042	广州市	113.25	23.13333333
山东省	95,793	4,757	济南市	117.0	36.63333333
河南省	94,024	3,991	郑州市	113.7	34.8
四川省	80,418	4,377	成都市	104.08333329999999	30.65
江苏省	78,660	2,995	南京市	118.83333329999999	32.03333333
河北省	71,854	1,877	石家庄市	114.46666670000002	38.03333333
湖南省	65,684	1,754	长沙市	113.0	28.18333333
安徽省	64,501	4,965	合肥市	117.3	31.85
湖北省	57,238	2,619	武汉市	114.35	30.61666667
浙江省	54,427	3,061	杭州市	120.15	30.23333333
广西壮族自治区	46,027	1,249	南宁市	108.33333329999999	22.8
云南省	45,966	2,770	昆明市	102.6833333	25.0
江西省	44,567	1,394	南昌市	115.86666670000001	28.68333333
辽宁省	43,746	844	沈阳市	123.4	41.83333333
黑龙江省	38,312	788	哈尔滨市	126.68333329999999	45.75
陕西省	37,327	1,398	西安市	108.9	34.26666667
福建省	36,894	900	福州市	119.3	26.08333333
山西省	35,712	762	太原市	112.56666670000001	37.86666667
贵州省	34,746	3,039	贵阳市	106.7	26.58333333
重庆市	28,846	1,239	重庆市	106.53333329999998	29.53333333
吉林省	27,462	527	长春市	125.31666670000001	43.86666667
甘肃省	25,575	2,223	兰州市	103.8166667	36.05
内蒙古自治区	24,706	1,005	呼和浩特市	111.8	40.81666667
上海市	23,019	631	上海市	121.48333329999998	31.23333333
新疆维吾尔自治区	21,813	516	乌鲁木齐市	87.6	43.8
北京市	19,612	333	北京市	116.46666670000002	39.9
天津市	12,938	271	天津市	117.18333329999999	39.15
海南省	8,672	354	海口市	110.33333329999999	20.03333333
宁夏回族自治区	6,301	392	银川市	106.26666670000002	38.33333333
青海省	5,627	576	西宁市	101.75	36.63333333
西藏自治区	3,002		拉萨市	91.16666667	29.66666667
