ACC,StudySize,Status,Releasedate,SubmissionDate,UserName,Technique,AccShort,StudyID,UpdateDate,nmr_size,ms_size,Empty?,150
MTBLS1,156053504,Public,14/02/2012,14/02/2012,Reza Salek,NMR,1,1540096,02/11/2017,156053504,0,"201,202.00",201202
MTBLS2,6666780672,Public,22/05/2012,22/05/2012,Steffen Neumann,UPLC-QTOF-MS,2,557056,29/01/2016,0,6666780672,"201,205.00",201205
MTBLS3,219037696,Public,14/02/2012,14/02/2012,Reza Salek,GC-Q-MS,3,1572864,03/12/2015,0,219037696,"201,202.00",201202
MTBLS4,3655090176,Public,14/02/2012,14/02/2012,Albert Koulman,UPLC-LTQ-MS,4,1605632,14/02/2012,0,3655090176,"201,202.00",201202
MTBLS5,1381347328,Public,14/09/2015,11/09/2015,Joachim Kopka,GC-TOF-MS,5,131072,22/03/2017,0,1381347328,"201,509.00",201509
MTBLS6,274178048,Public,29/03/2012,29/03/2012,Sean O'Callaghan,GC-Q-MS,6,163840,03/12/2015,0,274178048,"201,203.00",201203
MTBLS7,4478205952,Public,14/09/2015,11/09/2015,Joachim Kopka,GC-TOF-MS,7,196608,22/03/2017,0,4478205952,"201,509.00",201509
MTBLS8,5249470464,Public,19/04/2012,19/04/2012,Juan Castrillo,GC-TOF-MS,8,262144,04/12/2015,0,5249470464,"201,204.00",201204
MTBLS9,1728512,Submitted,18/09/2017,18/09/2017,James Ellis,NMR,9,9,20/09/2018,1728512,0,"201,709.00",201709
MTBLS10,189255680,Public,14/08/2012,14/08/2012,Steffen Neumann,HPLC-QTOF-MS,10,1015808,05/11/2015,0,189255680,"201,208.00",201208
MTBLS11,4240379904,Public,14/09/2015,11/09/2015,Joachim Kopka,GC-TOF-MS,11,14254080,22/03/2017,0,4240379904,"201,509.00",201509
MTBLS12,2734366720,Public,14/09/2015,11/09/2015,Joachim Kopka,GC-TOF-MS,12,14286848,22/03/2017,0,2734366720,"201,509.00",201509
