Type	Counts	Technique	Full Name
NMR	119	NMR	Nuclear Magnetic Resonance
LC-MS	118	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS
GC-MS	73	GC-Q-MS	Gas Chromatography Quadrupole MS
GC-MS	50	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS
LC-MS	46	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS
LC-MS	43	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS
LC-MS	40	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS
LC-MS	32	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS
	32	Insufficient data supplied	
LC-MS	21	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS
LC-MS	20	LC-LTQ-MS	Liquid Chromatography Linear Trap Quadrupole MS
LC-MS	19	UPLC-TQ-MS	Ultra Performance Liquid Chromatography Triple Quarupole MS
LC-MS	17	UPLC-TOF-MS	Ultra Performance Liquid Chromatography Time-Of-Flight MS
LC-MS	14	HPLC-QTOF-MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight MS
LC-MS	14	LC-LTQ-MS/MS	Liquid Chromatography Linear Trap Quadrupole Tandem MS
LC-MS	11	UPLC-TQ-MS/MS	Ultra Performance Liquid Chromatography Triple Quarupole Tandem MS
GC-MS	11	GCxGC-TOF-MS	Tandem Gas Chromatography Time-Of-Flight MS
MS	10	3D MALDI imaging MS	3-Dimensional Matrix Assisted Laser Desorption/Ionization Imaging MS
LC-MS	8	HPLC-QTOF-MS/MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS
Direct Infusion	8	DI-LTQ-MS	Direct Infusion Linear Trap Quadrupole MS
LC-MS	8	UPLC-FT-ICR-MS	Ultra Performance Liquid Chromatography Fourier Transform Ion Cyclotron Resonance MS
GC-MS	8	GC-TQ-MS	Gas Chromatography Triple Quarupole MS
LC-MS	7	LC-QTOF-MS	Liquid Chromatography Quadrupole Time-Of-Flight MS
