abbr,name,url,description
AEO,Anatomical Entity Ontology,/ols/ontologies/aeo,"AEO is an ontology of anatomical structures that expands CARO, the Common Anatomy Reference Ontology"
AERO,Adverse Event Reporting Ontology,/ols/ontologies/aero,"The Adverse Event Reporting Ontology (AERO) is an ontology aimed at supporting clinicians at the time of data entry, increasing quality and accuracy of reported adverse events"
AGRO,Agronomy Ontology,/ols/ontologies/agro,"Ontology of agronomic practices, agronomic techniques, and agronomic variables used in agronomic experiments"
APO,Ascomycete phenotype ontology,/ols/ontologies/apo,A structured controlled vocabulary for the phenotypes of Ascomycete fungi
ARO,Antibiotic Resistance Ontology,/ols/ontologies/aro,Antibiotic resistance genes and mutations
ATOL,Animal Trait Ontology for Livestock,/ols/ontologies/atol,"ATOL (Animal Trait Ontology for Livestock) is an ontology of characteristics defining phenotypes of livestock in their environment (EOL). ATOL aims to: - provide a reference ontology of phenotypic traits of farm animals for the international scientificand educational - communities, farmers, etc.; - deliver this reference ontology in a language which can be used by computers in order to support database management, semantic analysis and modeling; - represent traits as generic as possible for livestock vertebrates; - make the ATOL ontology as operational as possible and closely related to measurement techniques; - structure the ontology in relation to animal production."
BAO,BioAssay Ontology,/ols/ontologies/bao,"The BioAssay Ontology (BAO) describes biological screening assays and their results including high-throughput screening (HTS) data for the purpose of categorizing assays and data analysis. BAO is an extensible, knowledge-based, highly expressive (currently SHOIQ(D)) description of biological assays making use of descriptive logic based features of the Web Ontology Language (OWL). BAO currently has over 700 classes and also makes use of several other ontologies. It describes several concepts related to biological screening, including Perturbagen, Format, Meta Target, Design, Detection Technology, and Endpoint. Perturbagens are perturbing agents that are screened in an assay; they are mostly small molecules. Assay Meta Target describes what is known about the biological system and / or its components interrogated in the assay (and influenced by the Perturbagen). Meta target can be directly described as a molecular entity (e.g. a purified protein or a protein complex), or indirectly by a biological process or event (e.g. phosphorylation). Format describes the biological or chemical features common to each test condition in the assay and includes biochemical, cell-based, organism-based, and variations thereof. The assay Design describes the assay methodology and implementation of how the perturbation of the biological system is translated into a detectable signal. Detection Technology relates to the physical method and technical details to detect and record a signal. Endpoints are the final HTS results as they are usually published (such as IC50, percent inhibition, etc). BAO has been designed to accommodate multiplexed assays. All main BAO components include multiple levels of sub-categories and specification classes, which are linked via object property relationships forming an expressive knowledge-based representation."
BCGO,Beta Cell Genomics Ontology,/ols/ontologies/bcgo,An application ontology built for beta cell genomics studies.
BCO,Biological Collections Ontology,/ols/ontologies/bco,"An ontology to support the interoperability of biodiversity data, including data on museum collections, environmental/metagenomic samples, and ecological surveys."
BFO,Basic Formal Ontology,/ols/ontologies/bfo,The upper level ontology upon which OBO Foundry ontologies are built.
BSPO,Biological Spatial Ontology,/ols/ontologies/bspo,"An ontology for respresenting spatial concepts, anatomical axes, gradients, regions, planes, sides, and surfaces"
BTO,BRENDA tissue / enzyme source,/ols/ontologies/bto,"A structured controlled vocabulary for the source of an enzyme comprising tissues, cell lines, cell types and cell cultures."
CARO,Common Anatomy Reference Ontology,/ols/ontologies/caro,An upper level ontology to facilitate interoperability between existing anatomy ontologies for different species
CCO,Cell Cycle Ontology,/ols/ontologies/cco,The Cell Cycle Ontology extends existing ontologies for cell cycle knowledge building a resource that integrates and manages knowledge about the cell cycle components and regulatory aspects.
CDAO,Comparative Data Analysis Ontology,/ols/ontologies/cdao,"The Comparative Data Analysis Ontology (CDAO) provides a framework for understanding data in the context of evolutionary-comparative analysis.  This comparative approach is used commonly in bioinformatics and other areas of biology to draw inferences from a comparison of differently evolved versions of something, such as differently evolved versions of a protein.  In this kind of analysis, the things-to-be-compared typically are classes called 'OTUs' (Operational Taxonomic Units).  The OTUs can represent biological species, but also may be drawn from higher or lower in a biological hierarchy, anywhere from molecules to communities.  The features to be compared among OTUs are rendered in an entity-attribute-value model sometimes referred to as the 'character-state data model'.  For a given character, such as 'beak length', each OTU has a state, such as 'short' or 'long'.  The differences between states are understood to emerge by a historical process of evolutionary transitions in state, represented by a model (or rules) of transitions along with a phylogenetic tree.  CDAO provides the framework for representing OTUs, trees, transformations, and characters.  The representation of characters and transformations may depend on imported ontologies for a specific type of character."
