StudyID	1D/2D	Technique
MTBLS1	1D	1D NOESY with presaturation (noesypr1d)
MTBLS24	1D	1D NOESY with presaturation (noesypr1d)
MTBLS25	2D	2D 1H-13C HSQC (hsqcetgppr)
MTBLS46	1D	1D CPMG with presaturation (cpmgpr1d)/1D NOESY with presaturation (noesypr1d)
MTBLS48	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS48	1D	1D NOESY with presaturation (noesypr1d)
MTBLS77	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS100	1D	1D NOESY with presaturation (tnnoesy)
MTBLS102	1D	1D NOESY with presaturation (noesypr1d)
MTBLS103	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS104	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS114	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS115	1D	1D NOESY with presaturation (noesypr1d)
MTBLS116	1D	1D 1H with presaturation (presat)
MTBLS123	1D	1D 1H with presaturation (presat)
MTBLS123	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS123	1D	1D NOESY with presaturation (noesypr1d)
MTBLS131	2D	M3S COSY
MTBLS132	2D	M3S COSY
MTBLS133	2D	M3S COSY
MTBLS134	2D	M3S COSY
MTBLS147	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS149	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS151	2D	Conventional 1H spectrum (zg30)
MTBLS161	1D	1D NOESY with presaturation (noesypr1d)
MTBLS166	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS172	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS174	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS177	1D	1D NOESY with presaturation (noesypr1d)
MTBLS189	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS189	1D	1D NOESY with presaturation (noesypr1d)
MTBLS189	2D	Conventional 1H spectrum (zg30)
MTBLS200	1D	1D NOESY with presaturation (noesypr1d)
MTBLS230	1D	1D NOESY with presaturation (noesypr1d)
MTBLS237	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS237	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS240	1D	1D 1H with presaturation (presat)
MTBLS241	1D	"1D NOESY 12C 13C custom filtered with presaturation, phase-sensitive gradients, and 13C decoupling (c12c13filternoesygpc13cpd)"
MTBLS241	1D	"1D NOESY 12C custom filtered with presaturation, phase-sensitive gradients, and 13C decoupling (c12filternoesygpc13cpd)"
MTBLS241	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS241	2D	2D HSQC using echo-antiecho and adiabatic pulses for inversion and refocusing with additional water suppression (hsqcetgpsp.2.cl)
MTBLS242	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS247	1D	1D 13C with power-gated decoupling (zgpg)
MTBLS247	1D	1D NOESY with presaturation (noesypr1d)
MTBLS247	2D	2D HSQC with presaturation (hsqcphpr)
MTBLS247	2D	2D TOCSY with presaturation using MLEV (mlevphpr)
MTBLS249	1D	1D with water suppression using excitation sculpting with gradients (zgesgp)
MTBLS249	2D	2D JRES with homonuclear J-resolved 2D correlation (jresesgp)
MTBLS256	1D	1D NOESY with presaturation (tnnoesy)
MTBLS261	1D	1D NOESY with presaturation (tnnoesy)
MTBLS275	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS326	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS331	1D	1D 1H with presaturation (zgpr)
MTBLS336	2D	2D JRES with excitation sculpting & additional water suppression (jresesgp2)
MTBLS337	1D	1D NOESY with presaturation (noesypr1d)
MTBLS340	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS340	1D	1D NOESY with presaturation (noesypr1d)
MTBLS342	1D	1D 1H with presaturation (presat)
MTBLS346	1D	1D 1H with presaturation (wet)
MTBLS349	1D	1D 1H with presaturation (zgpr)
MTBLS356	2D	2D homonuclear correlation via dipolar coupling (noesyesgpph)
MTBLS361	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS367	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS367	2D	2D HSQC using echo-antiecho and adiabatic pulses for inversion and refocusing with additional water suppression (hsqcetgpsp.2.cl)
MTBLS374	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS374	1D	1D NOESY with presaturation (noesypr1d)
MTBLS382	1D	1D NOESY with presaturation (noesypr1d)
MTBLS386		1D 1H with presaturation (zgpr)
MTBLS387	1D	1D NOESY with presaturation (tnnoesy)
MTBLS387	2D	2D HSQC using PEP and adiabatic pulses for inversion and refocusing with gradients in back-inept and suppression of COSY type artefacts (hsqcetgpsisp2.3)
MTBLS395	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS399	1D	1D NOESY with presaturation (metnoesy)
MTBLS419	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS422	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS424	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS425	1D	1D NOESY with presaturation (noesypr1d)
MTBLS430	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS431	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS444	1D	1D 1H with presaturation (zgpr)
MTBLS453	1D	1D 1H with presaturation (zgpr)
MTBLS455	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS463	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS516	1D	1D NOESY with presaturation (noesypr1d)
MTBLS524	1D	1D 1H with presaturation (presat)
MTBLS539	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS540	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS540	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS540	2D	"2D JRES with homonuclear J-resolved 2D correlation, presaturation during relaxation delay with gradients (jresgpprqf)"
MTBLS541	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS543	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS560	1D	1D 1H with presaturation (zgpr)
MTBLS560	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS564	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS576	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS602	1D	1D NOESY with presaturation (noesypr1d)
MTBLS619	1D	1D 1H with presaturation (presat)
MTBLS619	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS622	1D	1D NOESY with presaturation (noesypr1d)
