Technique	Count	Full Name
NMR	89	Nuclear Magnetic Resonance
UPLC-QTOF-MS	72	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS
GC-Q-MS	52	Gas Chromatography Quadrupole MS
GC-TOF-MS	42	Gas Chromatography Time-Of-Flight MS
UPLC-LTQ-MS	42	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS
HPLC-LTQ-MS	34	High Performance Liquid Chromatography Linear Trap Quadrupole MS
UPLC-QTOF-MS/MS	33	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS
UPLC-LTQ-MS/MS	22	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS
HPLC-LTQ-MS/MS	19	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS
UPLC-TQ-MS	14	Ultra Performance Liquid Chromatography Triple Quarupole MS
LC-LTQ-MS/MS	13	Liquid Chromatography Linear Trap Quadrupole Tandem MS
LC-LTQ-MS	12	Liquid Chromatography Linear Trap Quadrupole MS
HPLC-QTOF-MS	9	High Performance Liquid Chromatography Quadrupole Time-Of-Flight MS
UPLC-TOF-MS	9	Ultra Performance Liquid Chromatography Time-Of-Flight MS
UPLC-FT-ICR-MS	8	Ultra Performance Liquid Chromatography Fourier Transform Ion Cyclotron Resonance MS
UPLC-TQ-MS/MS	8	Ultra Performance Liquid Chromatography Triple Quarupole Tandem MS
UPLC-LTQ-FT-MS/MS	7	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Fourier Transform Tandem MS
	7	
GCxGC-TOF-MS	7	Tandem Gas Chromatography Time-Of-Flight MS
DI-FT-ICR-MS	6	Direct Infusion Fourier Transform Ion Cyclotron Resonance MS
MAS-NMR	6	Magic Angle Spinning-Nuclear Magnetic Resonance
3D DESI imaging MS	6	3-Dimensional Desorption Electrospray Ionization imaging MS (3D DESI imaging MS)
HPLC-QTOF-MS/MS	6	High Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS
DI-LTQ-MS	6	Direct Infusion Linear Trap Quadrupole MS
3D MALDI imaging MS	4	3-Dimensional Matrix Assisted Laser Desorption/Ionization Imaging MS
GC-TQ-MS	4	Gas Chromatography Triple Quarupole MS
UPLC-DAD	4	Ultra Performance Liquid Chromatography Diode Array Detection
HPLC-TQ-MS/MS	3	High Performance Liquid Chromatography Triple Quarupole Tandem MS
UPLC-MS/MS	3	Ultra Performance Liquid Chromatography Tandem MS
LC-QTOF-MS	3	Liquid Chromatography Quadrupole Time-Of-Flight MS
GC-QIT-MS	2	Gas Chromatography Quadrupole Ion Trap MS
GC-QTOF-MS	2	Gas Chromatography Quadrupole Time-Of-Flight MS
LC-LTQ-FT-MS/MS	2	Liquid Chromatography Linear Trap Quadrupole Fourier Transform Tandem MS
LC-TQ-MS	2	Liquid Chromatography Triple Quadrupole MS
DI-LTQ-MS/MS	2	Direct Infusion Linear Trap Quadrupole Tandem MS
