studyID	name	type	iri	ontoName
MTBLS1	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	NCIT
MTBLS1	Metabolic syndrome	metabolic syndrome	http://www.ebi.ac.uk/efo/EFO_0000195	EFO
MTBLS2	genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	EFO
MTBLS2	replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	EFO
MTBLS3	gene knockout	gene knock out	http://www.ebi.ac.uk/efo/EFO_0000506	EFO
MTBLS4	blood plasma	mixture	http://purl.obolibrary.org/obo/CHEBI_60004	CHEBI
MTBLS5	CarbonDioxide_Quantity_after_initiation	air carbon dioxide content	http://purl.obolibrary.org/obo/XCO_0000012	XCO
MTBLS5	CarbonDioxide_Quantity_after_01d	air carbon dioxide content	http://purl.obolibrary.org/obo/XCO_0000012	XCO
MTBLS7	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040	XEML
MTBLS7	Container_after_14d	Container	http://purl.obolibrary.org/obo/XEO_00040	XEML
MTBLS7	Total Light_100pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS7	Total Light_0pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS7	Total Light_100pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS7	Total Light_0pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS7	Total Light_100pc_after_28d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS7	Total Light_0pc_after_28d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS7	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS7	Medium_after_14d	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS8	nutrient	nutrient	http://purl.obolibrary.org/obo/CHEBI_33284	CHEBI
MTBLS8	growth rate	Events per hour	http://mimi.case.edu/ontologies/2009/1/UnitsOntology#events_per_hour	
MTBLS9	Compound	Compound	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43366	NCIT
MTBLS9	Time point	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS9	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	EFO
MTBLS9	Replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	EFO
MTBLS9	Metabolite source	material sample	http://purl.obolibrary.org/obo/OBI_0000747	OBI
MTBLS10	Timepoint	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS10	Treatment	response to wounding	http://purl.obolibrary.org/obo/GO_0009611	GO
MTBLS11	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040	XEML
MTBLS11	Container_after_14d	Container	http://purl.obolibrary.org/obo/XEO_00040	XEML
MTBLS11	Total Light_100pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS11	Total Light_0pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS11	Total Light_100pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS11	Total Light_0pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS11	Total Light_100pc_after_28d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS11	Total Light_0pc_after_28d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS11	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS11	Medium_after_14d	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS12	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040	XEML
MTBLS12	Container_after_14d	Container	http://purl.obolibrary.org/obo/XEO_00040	XEML
MTBLS12	Total Light_100pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS12	Total Light_0pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS12	Total Light_100pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS12	Total Light_0pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS12	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS12	Medium_after_14d	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS13	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040	XEML
MTBLS13	Container_after_14d	Container	http://purl.obolibrary.org/obo/XEO_00040	XEML
MTBLS13	Total Light_100pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS13	Total Light_0pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS13	Total Light_100pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS13	Total Light_0pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS13	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS13	Medium_after_14d	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS14	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040	XEML
MTBLS14	Container_after_04d	Container	http://purl.obolibrary.org/obo/XEO_00040	XEML
MTBLS14	RelativeHumidity_after_04d	Relative humidity	http://purl.bioontology.org/ontology/SNOMEDCT/250829009	SNOMEDCT
MTBLS14	Temperature_after_04d	temperature	http://www.ebi.ac.uk/efo/EFO_0001702	EFO
MTBLS14	Total Light_On_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
