term	count
Gender	26
Age	20
Replicate	15
Sample Type	14
Time Point	14
Incubation Time	7
Treatment	7
Run Order	7
Batch	6
Dose	6
Bmi	6
Control	5
Disease	5
Cell Line	5
Time Post Exposure	5
Time	5
Batch Run Order	5
Timepoint	5
Tracer	4
Compound	4
Subject	4
Rmsd	3
Cell Type	3
Age Group	3
Diagnosis	3
Analysis Date	3
Injection Number	3
Experiment	3
Artemether Treatment	3
Diabetes	3
Material Sample	3
Disease State	3
Smoking Status	3
Phase	3
	3
Spectrum Type	3
Plate Position	2
Injection Order	2
Medium	2
Temperature	2
Well Position	2
Sampling Time	2
Metabolic Syndrome	2
Batch Number	2
Weight	2
Height	2
Genotype	2
Group	2
Sex	2
Tissue Type	2
Human State	2
Patient	2
Collection Time	1
Carriage Status	1
Harvesting Time	1
Smoker	1
Resveratrol Concentration	1
Antibody Status	1
Run Day	1
Family Disposition	1
Mvv Pred B/T	1
Mean Corpuscular Hemoglobin	1
Diff_Neutrophils	1
Duration Illness Prior To Hospital Admission	1
Freeze-Thaw	1
Platelet Count	1
Lymphocytes	1
Treatment With Inj. Cefazoline	1
Microbial Interaction	1
Workload A/T	1
Overall Survival	1
Pancreatitis	1
Copd Status	1
Dis-Free Survival	1
Parturition	1
Isotopic Tracer	1
Infertility	1
Time Of Day	1
Drug Treatment Local Steroids	1
Fev Pred	1
Drug Treatment	1
Her2	1
Conjugated Bilirubin	1
Race	1
Ns	1
P. Falciparum Parasite Density	1
Tlc Pred B/T	1
Staging	1
Maternal Viral Load	1
Mvv A/T	1
Lactate B/T B/E	1
Tumour Grade	1
Material Type	1
Breast Cancer Relapse	1
Total White Blood Cell Count	1
Previous Hospital Due To Cholecystitis	1
Serum Type	1
Diff_Basophils	1
Previous History Of Typhoid	1
B3 Vitamin	1
Cardiovascular Risk Status	1
Ic Pred B/T	1
Human Oscc	1
Lifestyle Intervention	1
Osmolarity	1
Dlco Pred B/T	1
Ectonucleotidase Inhibition	1
Oligomycin	1
Biological Replicate	1
Biofluid	1
Subset	1
Vo2 Peak B/T Ml/Min	1
Challenge Time Of Day	1
Coculture	1
Drug Treatment Asetylsalicylic Acid	1
Diabetes Status	1
Participant Type	1
Ic B/T	1
Dosage	1
Acute Kidney Injury	1
Patient Group	1
Currentpmh	1
Treatment With Human Fecal Suspension	1
Nano Material	1
Ip3R Expression	1
Ethinicity	1
Heart Rate A/T	1
Tumor Microenvironment	1
Total Red Blood Cell Count	1
Diff_Monocytes	1
Previous Jaundice	1
Current Chronological Age	1
Sasang Constitution	1
Cluster Effect	1
Clear Cell Renal Cell Carcinoma	1
Walk B/T	1
Chemotherapy Response	1
Substrate	1
Severe Malnutrition	1
Hiae	1
Control Sample Group	1
Gene Transfection	1
Section Location	1
Heart Rate Pred B/T	1
Spike-In Concentration	1
Anticoagulant	1
Visit	1
Most Recent Treatment	1
Participant	1
Paco2	1
Extraintestinal Manifestations	1
Fasting Time	1
Sample Group	1
Mvv B/T	1
Challenge	1
Neutrophil Activation	1
Person	1
Prior Antibiotic Treatment	1
Copd Diagnosis	1
Eg. Gender	1
Bmi A/T	1
Day	1
Aspartate Transaminase	1
Antibiotics 15 Days	1
Analytical Run Order	1
Cdx1/Villin	1
Incubation	1
Amylase	1
Ageatblooddraw	1
Endocannabinoid Class	1
Sampling	1
Bacteroides Caccae	1
Previous Malaria Infection	1
Colorectal Adenocarcinoma	1
Lactate A/T A/E	1
Plate Number	1
Neuropeptide Y And Y2 Receptorblocker Treatment	1
Gall Stones	1
Rv Pred B/T	1
Exercise Set	1
Glandular Tissue	1
Malaria Rapid Diagnostic Test	1
Outcome	1
Preparation Replicate	1
Pregnancy Duration	1
Plate Effect	1
Fever 5 Days On Entry	1
Complex Index B/T	1
Season Of Sample Collection	1
Hb-Score	1
Workload B/T	1
Ms Format	1
Column Number	1
Antiretroviral Therapy	1
Role	1
Labeling	1
Glutamine	1
Label	1
Monocytes	1
