term	count
Genotype	18
Replicate	13
Container_After_Initiation	7
Medium_After_Initiation	7
Total Light_0Pc_After_Initiation	4
Total Light_100Pc_After_Initiation	4
Total Light_0Pc_After_07D	4
Medium_After_14D	4
Container_After_14D	4
Total Light_100Pc_After_07D	4
Plants/Container_Quantity_After_14D	4
Salt_Quantity_After_04D	3
Salt_Quantity_After_12D	3
Salt_Quantity_After_16D	3
Salt_Quantity_After_Initiation	3
Treatment	3
Watering_After_Initiation	3
Salt_Quantity_After_08D	3
Total Light_0Pc_After_28D	2
Stress	2
Time	2
Total Light_100Pc_After_28D	2
Tissue	1
Matrix	1
Stimulus	1
Time After Treatment	1
Medium Additive	1
Mediator Arabidopsis Complex	1
Replicates	1
Experimental Groups	1
Incubation	1
Time After Inoculation	1
Bicarbonate Treatment	1
Sampling Time	1
Bicarbonate Concentration	1
Whole Plant Development Stage	1
Extraction Replicate	1
Bacterial Strain	1
Life Cycle Stage	1
Stress Duration	1
Light Condition	1
Arabidopsis	1
Spike-In Concentration	1
Plant Genotype	1
Elapsed Time	1
Batch	1
Injection Replicate	1
