StudyID	name	type	iri	Matching
MTBLS544	chemical diversity	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	
MTBLS738	Chemical diversity	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	
MTBLS874	marine	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	
MTBLS885	preterm	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	http://www.ebi.ac.uk/efo/EFO_0003917
MTBLS890	Ancient pipe	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	
MTBLS890	Caffeine	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	http://purl.obolibrary.org/obo/CHEBI_27732
MTBLS890	Psychoactive metabolite	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	
MTBLS890	Residue analysis	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	
MTBLS890	Tobacco	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	http://purl.obolibrary.org/obo/NCIT_C891
MTBLS891	untargeted metabolites	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000279
MTBLS893	Pisum	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	http://purl.obolibrary.org/obo/NCBITaxon_3887
MTBLS894	"Acute coronary syndromes, Metabolomics, Biomarkers, non-targeted liquid-chromatography coupled with tandem mass spectrometry"	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	
MTBLS896	Medical Drugs	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	
MTBLS906	conditioning	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	http://purl.obolibrary.org/obo/NCIT_C41258
MTBLS915	dksk	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	
MTBLS916	biomarker	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000194
MTBLS916	systemic lupus erythematosus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	http://purl.obolibrary.org/obo/DOID_9074
MTBLS916	liquid chromatography	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	http://purl.obolibrary.org/obo/NCIT_C16435
MTBLS916	mass spectrometry	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS928	targeted metabolite quantification	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	http://purl.obolibrary.org/obo/MSIO_0000100
