ID	Target	Untarget
MTBLS1	0	1
MTBLS2	0	1
MTBLS3	1	0
MTBLS4	1	0
MTBLS5	0	1
MTBLS6	0	0
MTBLS7	0	1
MTBLS8	0	1
MTBLS10	1	0
MTBLS11	0	1
MTBLS12	0	1
MTBLS13	0	1
MTBLS14	0	1
MTBLS15	0	1
MTBLS16	0	1
MTBLS17	0	1
MTBLS18	0	1
MTBLS19	0	1
MTBLS20	0	1
MTBLS21	0	0
MTBLS22	0	1
MTBLS23	0	1
MTBLS24	0	1
MTBLS25	1	0
MTBLS26	0	1
MTBLS27	0	0
MTBLS28	0	1
MTBLS29	0	1
MTBLS31	1	0
MTBLS32	1	0
MTBLS33	1	0
MTBLS34	1	0
MTBLS35	0	1
MTBLS36	0	1
MTBLS37	0	1
MTBLS38	1	0
MTBLS39	0	1
MTBLS40	0	1
MTBLS41	0	1
MTBLS42	0	1
MTBLS43	0	1
MTBLS44	0	1
MTBLS45	0	1
MTBLS46	0	1
MTBLS47	0	1
MTBLS48	0	1
MTBLS49	0	1
MTBLS52	0	1
MTBLS53	0	0
MTBLS54	0	1
MTBLS55	0	1
MTBLS56	0	1
MTBLS57	0	1
MTBLS58	0	1
MTBLS59	1	0
MTBLS61	0	1
MTBLS62	0	1
MTBLS63	0	1
MTBLS64	0	1
MTBLS65	0	1
MTBLS66	1	1
MTBLS67	0	1
MTBLS68	0	1
MTBLS69	0	1
MTBLS71	0	1
MTBLS72	1	1
MTBLS73	0	1
MTBLS74	0	0
MTBLS75	0	1
MTBLS76	0	1
MTBLS77	0	1
MTBLS79	0	0
MTBLS81	0	1
MTBLS83	1	0
MTBLS85	0	1
MTBLS86	0	1
MTBLS87	0	1
MTBLS88	0	1
MTBLS89	0	1
MTBLS90	0	1
MTBLS91	0	1
MTBLS92	0	1
MTBLS93	0	1
MTBLS94	0	1
MTBLS95	0	1
MTBLS96	0	1
MTBLS98	0	1
MTBLS99	0	1
MTBLS100	0	1
MTBLS102	0	1
MTBLS103	1	1
MTBLS104	0	1
MTBLS105	1	1
MTBLS106	1	0
MTBLS107	1	1
