studyID	annotated	unknown	un-annotated
MTBLS41	68	0	0
MTBLS187	64	10	0
MTBLS545	146	1	0
MTBLS411	302	4	50
MTBLS44	107	0	0
MTBLS200	54	0	50
MTBLS42	68	0	0
MTBLS412	4	0	0
MTBLS283	59	0	0
MTBLS208	103	0	0
MTBLS350	66	0	0
MTBLS16	59	0	0
MTBLS437	212	139	0
MTBLS6	0	0	0
MTBLS634	14	0	0
MTBLS843	15	6	0
MTBLS526	46	0	0
MTBLS288	31	0	0
MTBLS175	56	0	0
MTBLS21	0	0	0
MTBLS527	57	1	0
MTBLS393	97	101	0
MTBLS341	0	0	15530
MTBLS457	82	99	0
MTBLS763	344	0	0
MTBLS191	43	0	0
MTBLS182	0	0	0
MTBLS803	21	0	0
MTBLS321	33	0	0
MTBLS309	844	0	0
MTBLS8	129	24	230
MTBLS118	39	0	0
MTBLS328	70	131	0
MTBLS519	40	11	0
MTBLS849	0	0	0
MTBLS370	72	0	0
MTBLS7	86	0	0
MTBLS183	0	0	0
MTBLS497	13	0	0
MTBLS226	108	100	0
MTBLS113	0	65	0
MTBLS724	29	0	0
MTBLS53	0	0	0
MTBLS338	149	100	6035
MTBLS363	100	42	0
MTBLS171	129	120	0
MTBLS215	324	65	0
MTBLS15	53	0	0
MTBLS71	268	418	0
MTBLS22	68	0	0
MTBLS23	69	24	0
MTBLS535	170	1	0
MTBLS219	144	2	0
MTBLS839	0	0	0
MTBLS532	17	0	0
MTBLS319	99	51	0
MTBLS66	0	8	50
MTBLS687	34	120	0
MTBLS14	58	0	0
MTBLS3	22	0	0
MTBLS767	34	21	0
MTBLS40	92	79	0
MTBLS420	22	11	0
MTBLS844	25	9	0
MTBLS312	373	0	0
MTBLS538	47	6	0
MTBLS244	0	0	0
MTBLS672	21	3	0
MTBLS345	325	0	0
MTBLS170	12	0	0
MTBLS45	84	82	0
MTBLS332	66	23	0
MTBLS789	75	12	1
MTBLS699	76	0	0
MTBLS311	265	2	0
MTBLS37	53	0	0
MTBLS96	14	5	0
MTBLS298	470	162	0
MTBLS112	58	0	0
MTBLS690	690	0	0
MTBLS522	65	0	0
MTBLS13	86	0	0
MTBLS826	35	0	0
MTBLS47	99	0	0
MTBLS552	76	0	0
MTBLS392	1176	44	0
MTBLS95	48	21	0
MTBLS447	82	0	0
MTBLS54	105	0	0
MTBLS780	125	2	0
MTBLS481	67	1	0
MTBLS27	33	2	0
MTBLS75	6	0	0
MTBLS320	122	78	0
MTBLS11	86	0	0
MTBLS355	117	0	0
MTBLS315	87	27628	640
MTBLS546	3	0	0
MTBLS848	0	0	0
MTBLS184	0	0	0
MTBLS579	90	108	0
MTBLS105	19	2	0
MTBLS43	110	0	0
MTBLS150	255	231	0
MTBLS35	66	0	0
MTBLS5	68	0	0
MTBLS196	0	0	0
MTBLS390	0	0	0
MTBLS152	198	216	0
MTBLS12	86	0	0
