studyID	annotated	unknown	un-annotated
MTBLS197	6	0	0
MTBLS441	0	0	10961
MTBLS549	132	0	0
MTBLS554	3	0	0
MTBLS188	0	0	0
MTBLS561	8	0	0
MTBLS570	594	3	0
MTBLS630	1791	3335	0
MTBLS631	196	103	0
MTBLS394	5026	0	0
MTBLS652	0	0	0
MTBLS525	2	0	0
MTBLS674	71	0	0
MTBLS28	0	0	3166
MTBLS359	182	0	0
MTBLS575	41	0	147
MTBLS312	373	0	0
MTBLS263	136	0	0
MTBLS461	44	0	2858
MTBLS614	110	46	0
MTBLS751	1829	1183	11
MTBLS266	136	0	0
MTBLS19	40	0	0
MTBLS767	34	21	0
MTBLS772	64	0	0
MTBLS548	29	0	0
MTBLS68	0	0	50
MTBLS185	0	0	0
MTBLS429	42	0	0
MTBLS691	188	2	0
MTBLS311	265	2	0
MTBLS409	288	0	31321
MTBLS433	19	285	0
MTBLS459	2122	20	0
MTBLS108	12	0	0
MTBLS57	0	0	0
MTBLS362	24	36	15990
MTBLS482	14	0	0
MTBLS214	26	0	0
MTBLS661	4	0	0
MTBLS309	844	0	0
MTBLS10	7	5	1484
MTBLS163	46	0	0
MTBLS577	120	0	0
MTBLS574	0	0	0
MTBLS20	1655	34	27356
MTBLS92	138	102	0
MTBLS229	108	0	0
MTBLS384	1	1	0
MTBLS432	33	0	3278
MTBLS528	0	68	0
MTBLS2	30	11	15231
MTBLS281	16	0	2968
MTBLS539	194	0	0
MTBLS559	6	1	0
MTBLS473	44	86	0
MTBLS59	36	0	0
MTBLS306	61	3	0
MTBLS31	53	0	0
MTBLS398	1027	0	0
MTBLS272	122	0	0
MTBLS234	0	0	0
MTBLS143	344	0	0
MTBLS380	15	0	0
MTBLS788	66	0	0
MTBLS39	67	39	0
MTBLS529	0	0	50
MTBLS160	82	30	5688
MTBLS89	585	13	0
MTBLS434	19	0	0
MTBLS36	111	0	0
MTBLS304	70	94	0
MTBLS518	0	0	18030
MTBLS770	196	187	0
MTBLS470	21	1	0
MTBLS107	12	0	0
MTBLS233	0	0	0
MTBLS335	142	528	0
MTBLS352	4	0	0
MTBLS267	136	0	0
MTBLS126	173	0	0
MTBLS558	4	2	0
MTBLS64	3	0	0
MTBLS762	14	3	0
MTBLS194	0	0	0
MTBLS793	29	0	0
MTBLS530	405	0	0
MTBLS18	0	81	7460
MTBLS243	33	0	0
MTBLS693	240	0	0
MTBLS154	60	0	11821
MTBLS547	40	2	0
MTBLS435	25	25	0
MTBLS629	118	62	0
MTBLS74	0	642	0
MTBLS536	0	0	0
MTBLS754	6	0	0
MTBLS124	176	1	0
MTBLS414	24	0	0
MTBLS417	1037	57	0
MTBLS567	92	1	0
MTBLS656	335	96	0
MTBLS253	35	0	0
MTBLS756	13	0	374
MTBLS169	0	642	0
MTBLS34	73	0	0
MTBLS465	35	0	0
MTBLS69	11	0	0
MTBLS287	83	1379	0
MTBLS664	188	1	19721
MTBLS338	149	100	6035
MTBLS278	44	1	0
MTBLS531	79	0	0
MTBLS471	1	0	0
MTBLS316	42	0	0
MTBLS274	1	208	0
MTBLS235	0	0	0
MTBLS81	119	0	0
MTBLS824	0	0	0
MTBLS270	22	0	0
MTBLS648	141	0	0
MTBLS650	127	0	442
MTBLS111	12	0	0
MTBLS33	77	0	0
MTBLS38	70	0	0
MTBLS404	120	0	0
MTBLS378	21	0	0
MTBLS750	123	0	0
MTBLS752	41	0	0
MTBLS55	102	0	0
MTBLS148	38	0	0
MTBLS483	0	203	0
MTBLS137	0	0	0
MTBLS493	0	0	0
MTBLS277	0	0	0
MTBLS737	11	2	794
MTBLS757	0	703	0
MTBLS99	0	0	0
MTBLS397	2287	0	0
MTBLS492	86	0	0
MTBLS372	0	0	0
MTBLS464	30	3	0
MTBLS618	80	11	0
MTBLS94	373	4229	0
MTBLS178	10	8	0
MTBLS452	14	0	0
MTBLS496	36	0	0
MTBLS173	61	0	0
MTBLS26	0	0	0
MTBLS276	2	0	0
MTBLS52	82	126	0
MTBLS87	151	0	0
MTBLS72	10	0	0
MTBLS66	0	8	50
MTBLS127	328	0	0
MTBLS265	136	0	0
MTBLS771	48	0	0
MTBLS264	136	0	0
MTBLS290	236	0	0
MTBLS523	11	0	0
MTBLS140	20	0	0
MTBLS341	0	0	15530
MTBLS217	77	0	0
MTBLS110	12	0	0
MTBLS460	17	2	0
MTBLS402	0	0	0
MTBLS418	19	0	0
MTBLS88	131	0	0
MTBLS62	56	0	0
MTBLS269	129	0	0
MTBLS403	96	8	3701
MTBLS405	232	0	0
MTBLS286	84	1436	0
MTBLS535	170	1	0
MTBLS495	247	504	0
MTBLS413	1511	5	0
MTBLS129	134	0	0
MTBLS598	16	0	0
MTBLS119	17	0	3263
MTBLS103	35	0	0
MTBLS93	200	2	0
MTBLS49	889	2	0
MTBLS307	18	146	0
MTBLS396	7413	0	0
MTBLS641	39	0	0
MTBLS295	67	0	21270
MTBLS454	9	0	0
MTBLS17	32	0	0
MTBLS165	55	65	0
MTBLS484	0	3730	0
MTBLS552	76	0	0
MTBLS334	52	18	0
MTBLS296	58	0	0
MTBLS85	0	0	0
MTBLS423	6	0	0
MTBLS673	5915	6078	0
MTBLS228	152	0	0
MTBLS291	117	0	2043
MTBLS333	0	0	0
MTBLS4	47	0	0
MTBLS61	25	0	0
MTBLS379	3486	0	4430
MTBLS67	75	0	0
MTBLS573	65	0	0
MTBLS146	0	0	0
MTBLS120	3	0	3108
MTBLS698	0	17	0
MTBLS358	0	0	0
MTBLS572	0	0	8368
MTBLS343	21	2	0
MTBLS360	506	2	0
MTBLS198	12	18	0
MTBLS368	31	30	0
MTBLS773	350	427	6
MTBLS775	0	0	0
MTBLS375	109	0	0
MTBLS703	35	0	1133
MTBLS462	79	0	0
MTBLS478	23	1	0
MTBLS303	76	0	0
MTBLS297	136	78	7214
MTBLS336	25	0	0
MTBLS315	87	27628	640
MTBLS354	12	0	0
MTBLS157	59	0	38943
MTBLS582	246	600	0
MTBLS620	314	104	0
MTBLS391	92	0	0
MTBLS128	12	0	0
MTBLS63	5	0	0
MTBLS381	0	0	2006
MTBLS32	79	0	0
MTBLS389	10	44	0
MTBLS426	429	0	0
MTBLS144	5	0	17923
MTBLS292	290	8	0
MTBLS571	8	100	0
MTBLS472	0	0	0
MTBLS293	43	0	10482
MTBLS562	52	193	0
MTBLS690	690	0	0
MTBLS125	235	0	0
MTBLS769	15	67	0
MTBLS822	0	0	0
MTBLS364	76	1	0
MTBLS225	648	1	0
MTBLS479	78	3	0
MTBLS708	24	0	2014
MTBLS109	12	0	0
MTBLS322	224	0	0
MTBLS280	64	0	0
MTBLS213	10	0	0
MTBLS527	57	1	0
MTBLS196	0	0	0
MTBLS450	23	33	0
MTBLS155	64	0	27284
MTBLS168	0	0	0
MTBLS449	275	0	0
MTBLS203	0	0	0
MTBLS555	0	0	2456
MTBLS401	0	0	0
MTBLS218	19	0	0
MTBLS488	2	0	0
MTBLS279	199	0	0
MTBLS494	62	97	0
MTBLS665	1	0	14867
MTBLS90	189	0	0
MTBLS410	288	0	31321
MTBLS456	17	8	0
MTBLS209	0	0	0
MTBLS581	234	0	0
MTBLS73	0	0	0
MTBLS330	111	0	0
