studyID	annotated	unknown	un-annotated
MTBLS622	22	0	0
MTBLS560	431	58	0
MTBLS422	251	51	0
MTBLS123	214	0	0
MTBLS349	51	0	0
MTBLS247	173	5	0
MTBLS374	6	0	0
MTBLS174	16	0	0
MTBLS25	9	0	0
MTBLS132	8	0	0
MTBLS543	203	103	0
MTBLS134	0	0	0
MTBLS48	47	1	0
MTBLS331	26	0	0
MTBLS540	23	0	0
MTBLS395	23	0	0
MTBLS336	25	0	0
MTBLS356	50	0	0
MTBLS342	7	1	0
MTBLS387	26	1	0
MTBLS669	59	0	0
MTBLS116	6	24	0
MTBLS161	41	0	0
MTBLS694	0	0	1
MTBLS444	71	0	0
MTBLS723	5	0	0
MTBLS166	13	0	0
MTBLS654	41	0	0
MTBLS230	12	0	0
MTBLS237	28	0	0
MTBLS524	13	1	0
MTBLS382	0	0	0
MTBLS337	39	0	0
MTBLS463	138	73	0
MTBLS399	34	0	0
MTBLS367	4	0	0
MTBLS24	51	29	621
MTBLS172	20	0	0
MTBLS100	72	0	0
MTBLS400	40	0	0
MTBLS1	97	18	105
MTBLS156	33	0	0
MTBLS675	54	0	0
MTBLS131	6	0	0
MTBLS419	19	0	0
MTBLS240	19	0	0
MTBLS539	194	0	0
MTBLS640	0	0	0
MTBLS46	14	0	0
MTBLS114	0	0	0
MTBLS149	154	0	381
MTBLS326	7	1	0
MTBLS424	22	0	0
MTBLS658	286	41	0
MTBLS77	73	11	0
MTBLS430	19	0	0
MTBLS626	18	0	0
MTBLS104	19	0	0
MTBLS869	28	0	0
MTBLS133	0	0	0
MTBLS147	29	0	0
MTBLS256	19	0	0
MTBLS516	50	0	0
MTBLS275	52	2	0
MTBLS249	24	0	0
MTBLS340	37	0	0
MTBLS667	131	0	0
MTBLS386	55	0	0
MTBLS643	1	0	0
MTBLS102	16	0	0
MTBLS720	73	0	0
MTBLS455	186	47	0
MTBLS115	33	3	0
MTBLS151	30	0	0
MTBLS56	23	4	0
MTBLS453	50	0	0
MTBLS576	43	0	0
MTBLS177	36	0	0
MTBLS200	54	0	50
MTBLS425	48	0	0
MTBLS602	209	2	0
MTBLS361	59	0	0
MTBLS241	0	0	0
MTBLS346	26	0	0
MTBLS761	37	0	0
MTBLS103	35	0	0
MTBLS242	21	0	0
MTBLS564	124	47	0
MTBLS189	95	0	0
MTBLS541	261	93	0
MTBLS619	109	0	168
MTBLS431	48	0	0
MTBLS261	0	0	50
