studyID	organism
MTBLS1	Homo sapiens
MTBLS2	Arabidopsis thaliana
MTBLS3	Caenorhabditis elegans
MTBLS4	Homo sapiens
MTBLS5	Synechocystis sp. PCC 6803
MTBLS6	Bos taurus
MTBLS7	Arabidopsis thaliana
MTBLS8	Saccharomyces cerevisiae
MTBLS10	Nicotiana attenuata
MTBLS11	Arabidopsis thaliana
MTBLS12	Arabidopsis thaliana
MTBLS13	Arabidopsis thaliana
MTBLS14	Lotus burttii
MTBLS14	Lotus tenuis
MTBLS14	Lotus corniculatus
MTBLS14	Lotus uliginosus
MTBLS14	Lotus filicaulis
MTBLS14	Lotus japonicus
MTBLS14	Lotus creticus
MTBLS15	Lotus burttii
MTBLS15	Lotus tenuis
MTBLS15	Lotus corniculatus
MTBLS15	Lotus uliginosus
MTBLS15	Lotus filicaulis
MTBLS15	Lotus japonicus
MTBLS15	Lotus creticus
MTBLS16	Lotus burttii
MTBLS16	Lotus tenuis
MTBLS16	Lotus corniculatus
MTBLS16	Lotus uliginosus
MTBLS16	Lotus filicaulis
MTBLS16	Lotus japonicus
MTBLS17	Homo sapiens
MTBLS18	Arabidopsis thaliana
MTBLS19	Homo sapiens
MTBLS20	Homo sapiens
MTBLS21	Triticum aestivum
MTBLS22	Arabidopsis thaliana
MTBLS23	Mus musculus
MTBLS24	Homo sapiens
MTBLS25	Homo sapiens
MTBLS26	Mus musculus
MTBLS27	Homo sapiens
MTBLS28	Homo sapiens
MTBLS29	Saccharomyces cerevisiae
MTBLS31	Mus musculus
MTBLS32	Mus musculus
MTBLS33	Mus musculus
MTBLS34	Mus musculus
MTBLS35	Salmonella enterica
MTBLS36	Solanum lycopersicum
MTBLS37	Chlamydomonas reinhardtii
MTBLS39	Vitis vinifera
MTBLS40	Arabidopsis thaliana
MTBLS40	Alkane standard
MTBLS41	Arabidopsis thaliana
MTBLS42	Arabidopsis thaliana
MTBLS43	Lotus japonicus
MTBLS44	Lotus japonicus
MTBLS45	Arabidopsis thaliana
MTBLS45	Alkane standard
MTBLS46	Homo sapiens
MTBLS47	Arabidopsis thaliana
MTBLS47	Alkane standard
MTBLS48	Mus musculus
MTBLS49	Trypanosoma brucei
MTBLS52	Hordeum vulgare
MTBLS53	Homo sapiens
MTBLS54	Lotus japonicus
MTBLS55	Vitis vinifera
MTBLS56	Solanum lycopersicum
MTBLS57	Arabidopsis thaliana
MTBLS58	Rattus norvegicus
MTBLS59	Malus domestica
MTBLS61	Homo sapiens
MTBLS61	Mus musculus
MTBLS62	Lolium perenne
MTBLS63	Lolium perenne
MTBLS64	Lolium perenne
MTBLS65	Lolium perenne
MTBLS66	Lolium perenne
MTBLS66	Blank
MTBLS67	Schizosaccharomyces pombe
MTBLS68	Lolium perenne
MTBLS69	Sorghum bicolor
MTBLS71	Homo sapiens
MTBLS72	Homo sapiens
MTBLS73	Solanum lycopersicum
MTBLS74	Arabidopsis thaliana
MTBLS75	unclassified Cyanobacteria
MTBLS76	blank 
MTBLS76	Homo sapiens
MTBLS77	Ovis aries
MTBLS79	Bos taurus
MTBLS79	Bos taurus/NCBITAXON:Ovis aries
MTBLS79	Ovis aries
MTBLS81	Mus musculus
MTBLS83	Homo sapiens
MTBLS85	Vitis vinifera
MTBLS86	Manihot esculenta
MTBLS87	Schizosaccharomyces pombe
MTBLS87	Homo sapiens
MTBLS88	Homo sapiens
MTBLS89	Homo sapiens
MTBLS90	Homo sapiens
MTBLS91	Calanus
MTBLS92	Homo sapiens
MTBLS93	Homo sapiens
MTBLS94	Arabidopsis thaliana
MTBLS95	Arabidopsis thaliana
MTBLS96	Mus musculus
MTBLS98	Homo sapiens
MTBLS98	Homo sapiens/NCBITAXON:Plasmodium falciparum
MTBLS99	Malus domestica
MTBLS100	Homo sapiens
MTBLS102	Homo sapiens/NCBITAXON:Staphylococcus aureus
MTBLS103	Homo sapiens
MTBLS104	Homo sapiens
MTBLS105	Homo sapiens
