MTBLS ID	Study Type	Full name	Classify
MTBLS1	NMR	Nuclear Magnetic Resonance	NMR
MTBLS2	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS3	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS4	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS5	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS6	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS7	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS8	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS10	HPLC-QTOF-MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS11	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS12	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS13	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS14	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS15	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS16	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS17	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS18	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS18	UPLC-DAD	Ultra Performance Liquid Chromatography Diode Array Detection	LC-MS
MTBLS19	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS20	FIA-LTQ-MS/MS	Flow Injection Analysis Linear Trap Quadrupole Tandem MS	Direct Infusion
MTBLS20	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS21	GC-QIT-MS	Gas Chromatography Quadrupole Ion Trap MS	GC-MS
MTBLS22	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS23	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS24	NMR	Nuclear Magnetic Resonance	NMR
MTBLS25	NMR	Nuclear Magnetic Resonance	NMR
MTBLS26	UPLC-FT-ICR-MS	Ultra Performance Liquid Chromatography Fourier Transform Ion Cyclotron Resonance MS	LC-MS
MTBLS26	UPLC-LTQ-FT-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Fourier Transform MS	LC-MS
MTBLS27	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS28	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS29	MALDI-TOF/TOF-MS	Matrix Assisted Laser Desorption/Ionization Time-Of-Flight MS	MALDI MS
MTBLS31	LC-LTQ-MS/MS	Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS32	LC-LTQ-MS/MS	Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS33	LC-LTQ-MS/MS	Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS34	LC-LTQ-MS/MS	Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS35	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS36	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS37	GCxGC-TOF-MS	Tandem Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS38	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
