studyID	term	iri
MTBLS1	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS2	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS3	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS4	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS5	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS6	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS7	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS8	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS9	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS10	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS11	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS12	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS13	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS14	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS15	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS16	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS17	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS18	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS19	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS20	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS21	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS22	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS23	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS24	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS25	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS26	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS27	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS28	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS29	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS30	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS31	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS32	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS33	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS34	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS35	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS36	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS37	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS38	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS39	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS40	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS41	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS42	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS43	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS44	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS45	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS46	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS47	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS48	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS49	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS50	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS51	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS52	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS53	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS54	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS55	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS56	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS57	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS58	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS59	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS60	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS61	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS62	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS63	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS64	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS65	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS66	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS67	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS68	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS69	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS70	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS71	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS72	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS73	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS74	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS75	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS76	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS77	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS78		
MTBLS79	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS80		
MTBLS81	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS82		
MTBLS83	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS84	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS85	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS86	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS87	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS88	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS89	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS90	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS91	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS92	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS93	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS94	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS95	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS96	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS97	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS98	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS99	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS100	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS101	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS102	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS103	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS103	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS104	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS105	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS106	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS107	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS108	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS109	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS110	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS111	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS112	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS113	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS114	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS115	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS116	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS117	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS118	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS119	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS120	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS121	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS122	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS123	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS124	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS125	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS126	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS127	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS128	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS129	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS130	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS131	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS132	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS133	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS134	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS135	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS136	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS137	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS138	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS139	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS140	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS141	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS142	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS143	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS144	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS145	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS146	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS147	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS148	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS149	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS150	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS151	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS152	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS153	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS154	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS155	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS156	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS157	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
