ACC	StudySize	Status	Releasedate	SubmissionDate	UserName	Technique	AccShort	StudyID	UpdateDate	nmr_size	ms_size	Empty?	150
MTBLS1	156053504.0	Public	14/02/2012	14/02/2012	Reza Salek	N	1.0	1540096.0	02/11/2017	156053504.0	0.0	201,202.00	201202.0
MTBLS1	156053504.0	Public	14/02/2012	14/02/2012	Reza Salek	M	1.0	1540096.0	02/11/2017	156053504.0	0.0	201,202.00	201202.0
MTBLS1	156053504.0	Public	14/02/2012	14/02/2012	Reza Salek	R	1.0	1540096.0	02/11/2017	156053504.0	0.0	201,202.00	201202.0
MTBLS2	6666780672.0	Public	22/05/2012	22/05/2012	Steffen Neumann	U	2.0	557056.0	29/01/2016	0.0	6666780672.0	201,205.00	201205.0
MTBLS2	6666780672.0	Public	22/05/2012	22/05/2012	Steffen Neumann	P	2.0	557056.0	29/01/2016	0.0	6666780672.0	201,205.00	201205.0
MTBLS2	6666780672.0	Public	22/05/2012	22/05/2012	Steffen Neumann	L	2.0	557056.0	29/01/2016	0.0	6666780672.0	201,205.00	201205.0
MTBLS2	6666780672.0	Public	22/05/2012	22/05/2012	Steffen Neumann	C	2.0	557056.0	29/01/2016	0.0	6666780672.0	201,205.00	201205.0
MTBLS2	6666780672.0	Public	22/05/2012	22/05/2012	Steffen Neumann	-	2.0	557056.0	29/01/2016	0.0	6666780672.0	201,205.00	201205.0
MTBLS2	6666780672.0	Public	22/05/2012	22/05/2012	Steffen Neumann	Q	2.0	557056.0	29/01/2016	0.0	6666780672.0	201,205.00	201205.0
MTBLS2	6666780672.0	Public	22/05/2012	22/05/2012	Steffen Neumann	T	2.0	557056.0	29/01/2016	0.0	6666780672.0	201,205.00	201205.0
MTBLS2	6666780672.0	Public	22/05/2012	22/05/2012	Steffen Neumann	O	2.0	557056.0	29/01/2016	0.0	6666780672.0	201,205.00	201205.0
MTBLS2	6666780672.0	Public	22/05/2012	22/05/2012	Steffen Neumann	F	2.0	557056.0	29/01/2016	0.0	6666780672.0	201,205.00	201205.0
MTBLS2	6666780672.0	Public	22/05/2012	22/05/2012	Steffen Neumann	-	2.0	557056.0	29/01/2016	0.0	6666780672.0	201,205.00	201205.0
MTBLS2	6666780672.0	Public	22/05/2012	22/05/2012	Steffen Neumann	M	2.0	557056.0	29/01/2016	0.0	6666780672.0	201,205.00	201205.0
MTBLS2	6666780672.0	Public	22/05/2012	22/05/2012	Steffen Neumann	S	2.0	557056.0	29/01/2016	0.0	6666780672.0	201,205.00	201205.0
MTBLS3	219037696.0	Public	14/02/2012	14/02/2012	Reza Salek	G	3.0	1572864.0	03/12/2015	0.0	219037696.0	201,202.00	201202.0
MTBLS3	219037696.0	Public	14/02/2012	14/02/2012	Reza Salek	C	3.0	1572864.0	03/12/2015	0.0	219037696.0	201,202.00	201202.0
MTBLS3	219037696.0	Public	14/02/2012	14/02/2012	Reza Salek	-	3.0	1572864.0	03/12/2015	0.0	219037696.0	201,202.00	201202.0
MTBLS3	219037696.0	Public	14/02/2012	14/02/2012	Reza Salek	Q	3.0	1572864.0	03/12/2015	0.0	219037696.0	201,202.00	201202.0
MTBLS3	219037696.0	Public	14/02/2012	14/02/2012	Reza Salek	-	3.0	1572864.0	03/12/2015	0.0	219037696.0	201,202.00	201202.0
MTBLS3	219037696.0	Public	14/02/2012	14/02/2012	Reza Salek	M	3.0	1572864.0	03/12/2015	0.0	219037696.0	201,202.00	201202.0
MTBLS3	219037696.0	Public	14/02/2012	14/02/2012	Reza Salek	S	3.0	1572864.0	03/12/2015	0.0	219037696.0	201,202.00	201202.0
MTBLS4	3655090176.0	Public	14/02/2012	14/02/2012	Albert Koulman	U	4.0	1605632.0	14/02/2012	0.0	3655090176.0	201,202.00	201202.0
MTBLS4	3655090176.0	Public	14/02/2012	14/02/2012	Albert Koulman	P	4.0	1605632.0	14/02/2012	0.0	3655090176.0	201,202.00	201202.0
MTBLS4	3655090176.0	Public	14/02/2012	14/02/2012	Albert Koulman	L	4.0	1605632.0	14/02/2012	0.0	3655090176.0	201,202.00	201202.0
MTBLS4	3655090176.0	Public	14/02/2012	14/02/2012	Albert Koulman	C	4.0	1605632.0	14/02/2012	0.0	3655090176.0	201,202.00	201202.0
MTBLS4	3655090176.0	Public	14/02/2012	14/02/2012	Albert Koulman	-	4.0	1605632.0	14/02/2012	0.0	3655090176.0	201,202.00	201202.0
MTBLS4	3655090176.0	Public	14/02/2012	14/02/2012	Albert Koulman	L	4.0	1605632.0	14/02/2012	0.0	3655090176.0	201,202.00	201202.0
MTBLS4	3655090176.0	Public	14/02/2012	14/02/2012	Albert Koulman	T	4.0	1605632.0	14/02/2012	0.0	3655090176.0	201,202.00	201202.0
MTBLS4	3655090176.0	Public	14/02/2012	14/02/2012	Albert Koulman	Q	4.0	1605632.0	14/02/2012	0.0	3655090176.0	201,202.00	201202.0
MTBLS4	3655090176.0	Public	14/02/2012	14/02/2012	Albert Koulman	-	4.0	1605632.0	14/02/2012	0.0	3655090176.0	201,202.00	201202.0
MTBLS4	3655090176.0	Public	14/02/2012	14/02/2012	Albert Koulman	M	4.0	1605632.0	14/02/2012	0.0	3655090176.0	201,202.00	201202.0
MTBLS4	3655090176.0	Public	14/02/2012	14/02/2012	Albert Koulman	S	4.0	1605632.0	14/02/2012	0.0	3655090176.0	201,202.00	201202.0
MTBLS5	1381347328.0	Public	14/09/2015	11/09/2015	Joachim Kopka	G	5.0	131072.0	22/03/2017	0.0	1381347328.0	201,509.00	201509.0
MTBLS5	1381347328.0	Public	14/09/2015	11/09/2015	Joachim Kopka	C	5.0	131072.0	22/03/2017	0.0	1381347328.0	201,509.00	201509.0
MTBLS5	1381347328.0	Public	14/09/2015	11/09/2015	Joachim Kopka	-	5.0	131072.0	22/03/2017	0.0	1381347328.0	201,509.00	201509.0
