studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number	Definition
MTBLS1	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS2	replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS3	gene knockout	gene knock out	http://www.ebi.ac.uk/efo/EFO_0000506	
		gene knockout	http://www.bioassayontology.org/bao#BAO_0002441	"A gene knockout is a genetic technique in which an organism is engineered to carry genes that have been made inoperative (have been ""knocked out"" of the organism)."
		Gene Knockout	http://purl.obolibrary.org/obo/NCIT_C18143	Refers to the targeted disruption of a gene within its normal biological context.  Utilized to examine the involvement of a gene in a complex biological process.
MTBLS4	blood plasma	mixture	http://purl.obolibrary.org/obo/CHEBI_60004	
		blood plasma	http://purl.obolibrary.org/obo/UBERON_0001969	The liquid component of blood, in which erythrocytes are suspended.
		blood plasma	http://purl.obolibrary.org/obo/BTO_0000131	The fluid portion of the blood in which the particulate components are suspended.
		blood plasma	http://purl.obolibrary.org/obo/ENVO_02000027	Blood plasma is a bodily fluid that comprises the liquid component of blood, in which the blood cells are suspended. It makes up about 55% of total blood volume.
		blood plasma	http://purl.obolibrary.org/obo/ZFA_0005654	Portion of organism substance that is the liquid matrix of blood.
MTBLS6	Gap Penalty	Gap Penalty		
		Gap penalty	http://edamontology.org/data_2137	
MTBLS6	Threshold	Threshold		
		threshold	http://purl.obolibrary.org/obo/PATO_0000152	
		Threshold	http://purl.obolibrary.org/obo/NCIT_C48228	The lowest limit at which something becomes detectable or relevant.
MTBLS6	Window	Window		
		Window	http://purl.obolibrary.org/obo/NCIT_C48051	A part of a computer screen that contains a display different from the rest of the screen.
		Window	http://purl.obolibrary.org/obo/NCIT_C48921	A time period, or other type of interval, during which something may be achieved, obtained or observed.
MTBLS8	growth rate	Events per hour	http://mimi.case.edu/ontologies/2009/1/UnitsOntology#events_per_hour	
		growth rate	http://purl.obolibrary.org/obo/PATO_0001492	
		growth rate	http://purl.obolibrary.org/obo/OBA_0002215	The rate of a growth.
		growth rate	http://opendata.inra.fr/ATOL/ATOL_0002153	
		Growth rate	http://www.cropontology.org/rdf/CO_360:0000032	Growth rate
		growth rate	http://biomodels.net/SBO/SBO_0000610	A measure of the rate of growth of an organism, usually in culture. This can be expressed as increase in cell number or, more usually as an increase in dry weight of cells (grams), measured over a unit time period. Usually expressed as hour -1.
MTBLS10	Treatment	response to wounding	http://purl.obolibrary.org/obo/GO_0009611	
		treatment	http://purl.obolibrary.org/obo/NCRO_0000123	
		treatment	http://purl.obolibrary.org/obo/OGMS_0000090	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder
		treatment	http://purl.obolibrary.org/obo/AGRO_00000322	A process during which some material is applied to a subject
		treatment	http://purl.obolibrary.org/obo/MCO_0000866	A process in which the act is intended to modify or alter some other material entity,
		treatment	http://www.ebi.ac.uk/efo/EFO_0000727	A process in which the act is intended to modify or alter some other material entity,
MTBLS17	Injection	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	
		injection	http://purl.obolibrary.org/obo/ERO_0000640	Agent delivery whereby a substance is introduced into a organism, usually by means of a hypodermic syringe, as a liquid into the veins or muscles of the body.
		injection	http://purl.obolibrary.org/obo/ExO_0000060	
		injection	http://purl.obolibrary.org/obo/OBI_0000426	injection is process which aims at introducing a compound or a mixture into a material entity (either biological entity or instrument) by relying on devices such as syringe or injector connection, attached or forced into a vascular system (veins of an organism or tubes of a machine) or in a tissue.
MTBLS17	Experiment	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		experiment	http://semanticscience.org/resource/SIO_000994	An experiment is an investigation that has the goal of verifying, falsifying, or establishing the validity of a hypothesis. 
		experiment	http://purl.obolibrary.org/obo/AGRO_00000369	A planned process in which a procedure is carried out to support, refute, or validate a hypothesis.
		Experiment	http://purl.obolibrary.org/obo/NCIT_C42790	A coordinated set of actions and observations designed to generate data, with the ultimate goal of discovery or hypothesis testing.
MTBLS18	Treatment	plant treatment	http://purl.obolibrary.org/obo/EO_0001001	
		treatment	http://purl.obolibrary.org/obo/NCRO_0000123	
		treatment	http://purl.obolibrary.org/obo/OGMS_0000090	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder
		treatment	http://purl.obolibrary.org/obo/AGRO_00000322	A process during which some material is applied to a subject
		treatment	http://purl.obolibrary.org/obo/MCO_0000866	A process in which the act is intended to modify or alter some other material entity,
		treatment	http://www.ebi.ac.uk/efo/EFO_0000727	A process in which the act is intended to modify or alter some other material entity,
MTBLS18	Sampling time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
MTBLS18	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS19	Batch	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
MTBLS19	Experiment	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		experiment	http://semanticscience.org/resource/SIO_000994	An experiment is an investigation that has the goal of verifying, falsifying, or establishing the validity of a hypothesis. 
		experiment	http://purl.obolibrary.org/obo/AGRO_00000369	A planned process in which a procedure is carried out to support, refute, or validate a hypothesis.
		Experiment	http://purl.obolibrary.org/obo/NCIT_C42790	A coordinated set of actions and observations designed to generate data, with the ultimate goal of discovery or hypothesis testing.
MTBLS23	Treatment	Lipopolysaccharide stimulation		
