studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number	Definition
MTBLS1	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS2	replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	A role played by a a biological sample in the context of an experiment where the intent is that biological or technical variation is measured.
MTBLS3	gene knockout	gene knock out	http://www.ebi.ac.uk/efo/EFO_0000506	
		gene knockout	http://www.bioassayontology.org/bao#BAO_0002441	"A gene knockout is a genetic technique in which an organism is engineered to carry genes that have been made inoperative (have been ""knocked out"" of the organism)."
		Gene Knockout	http://purl.obolibrary.org/obo/NCIT_C18143	Refers to the targeted disruption of a gene within its normal biological context.  Utilized to examine the involvement of a gene in a complex biological process.
MTBLS4	blood plasma	mixture	http://purl.obolibrary.org/obo/CHEBI_60004	
		blood plasma	http://purl.obolibrary.org/obo/UBERON_0001969	The liquid component of blood, in which erythrocytes are suspended.
MTBLS6	Threshold	Threshold		
		Threshold	http://purl.obolibrary.org/obo/NCIT_C48228	The lowest limit at which something becomes detectable or relevant.
MTBLS6	Window	Window		
		Window	http://purl.obolibrary.org/obo/NCIT_C48051	A part of a computer screen that contains a display different from the rest of the screen.
		Window	http://purl.obolibrary.org/obo/NCIT_C48921	A time period, or other type of interval, during which something may be achieved, obtained or observed.
MTBLS10	Treatment	response to wounding	http://purl.obolibrary.org/obo/GO_0009611	
		treatment	http://purl.obolibrary.org/obo/OGMS_0000090	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder
		treatment	http://www.ebi.ac.uk/efo/EFO_0000727	A process in which the act is intended to modify or alter some other material entity,
MTBLS17	Injection	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	
