studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number
MTBLS6	Sample type	Sample plate type	
MTBLS6	Spike in volume	Spike in volume	
MTBLS6	Gap Penalty	Gap Penalty	
MTBLS6	Retention Time Modulation	Retention Time Modulation	
MTBLS6	Threshold	Threshold	
MTBLS6	Min Number Ions	Min Number Ions	
MTBLS6	Relative Intensity	Relative Intensity	
MTBLS6	Skewing	Skewing	
MTBLS6	Window	Window	
MTBLS7	Plants/Container_Quantity_after_14d	Quantity	
MTBLS11	Plants/Container_Quantity_after_14d	Quantity	
MTBLS12	Plants/Container_Quantity_after_14d	Quantity	
MTBLS13	Plants/Container_Quantity_after_14d	Quantity	
MTBLS14	Salt_Quantity_after_initiation	Concentration	
MTBLS14	Salt_Quantity_after_08d	Concentration	
MTBLS14	Salt_Quantity_after_12d	Concentration	
MTBLS14	Salt_Quantity_after_16d	Concentration	
MTBLS15	Salt_Quantity_after_initiation	Concentration	
MTBLS15	Salt_Quantity_after_08d	Concentration	
MTBLS15	Salt_Quantity_after_12d	Concentration	
MTBLS15	Salt_Quantity_after_16d	Concentration	
MTBLS16	Salt_Quantity_after_initiation	Concentration	
MTBLS16	Salt_Quantity_after_08d	Concentration	
MTBLS16	Salt_Quantity_after_12d	Concentration	
MTBLS16	Salt_Quantity_after_16d	Concentration	
MTBLS22	Salt_Quantity_after_initiation	Quantity	
MTBLS22	Salt_Quantity_after_04d	Quantity	
MTBLS22	Salt_Quantity_after_08d	Quantity	
MTBLS22	Salt_Quantity_after_12d	Quantity	
MTBLS22	Salt_Quantity_after_16d	Quantity	
MTBLS23	Treatment	Lipopolysaccharide stimulation	
MTBLS29	Level measurement type	Level measurement type	
MTBLS41	Salt_Quantity_after_initiation	Quantity	
MTBLS41	Salt_Quantity_after_04d	Quantity	
MTBLS41	Salt_Quantity_after_08d	Quantity	
MTBLS41	Salt_Quantity_after_12d	Quantity	
MTBLS41	Salt_Quantity_after_16d	Quantity	
MTBLS42	Salt_Quantity_after_initiation	Quantity	
MTBLS42	Salt_Quantity_after_04d	Quantity	
MTBLS42	Salt_Quantity_after_08d	Quantity	
MTBLS42	Salt_Quantity_after_12d	Quantity	
MTBLS42	Salt_Quantity_after_16d	Quantity	
MTBLS43	Salt_Quantity_after_initiation	Quantity	
MTBLS43	Salt_Quantity_after_08d	Quantity	
MTBLS43	Salt_Quantity_after_12d	Quantity	
MTBLS43	Salt_Quantity_after_16d	Quantity	
MTBLS44	Salt_Quantity_after_initiation	Quantity	
MTBLS44	Salt_Quantity_after_08d	Quantity	
MTBLS44	Salt_Quantity_after_12d	Quantity	
MTBLS44	Salt_Quantity_after_16d	Quantity	
MTBLS46	cardiovascular risk status	cardiovascular risk status	
MTBLS46	gender	gender	
MTBLS54	Salt_Quantity_after_initiation	Quantity	
MTBLS54	Salt_Quantity_after_08d	Quantity	
MTBLS54	Salt_Quantity_after_12d	Quantity	
MTBLS54	Salt_Quantity_after_16d	Quantity	
MTBLS81	Total Protein in LD	Total Protein in LD	
MTBLS81	Total acylglycerol in LD	Total acylglycerol in LD	
MTBLS83	eg. gender		
MTBLS89	OSMO		
MTBLS89	Challenge Time of Day		
MTBLS93	Cluster effect	Cluster effect	
MTBLS120	Chemotype	Chemotype	
MTBLS146	Run order	Run order	
MTBLS148	Injection order	Injection order	
MTBLS168	Deletion	Deletion	
MTBLS227	CDX1/Villin	CDX1/Villin	
MTBLS235	simulated detector noise	detector noise	
MTBLS235	simulated mass error	mass error	
MTBLS235	simulated error profile distortion	error profile distortion	
MTBLS249	complex index b/t	complex index	
MTBLS249	complex index a/t	complex index	
MTBLS249	IC/TLC ratio	Inspiratory capacity to Total Lung capacity ratio	
MTBLS276	Pulldown	Pulldown	
MTBLS277	Time point	timepoint	
MTBLS277	Nano material	nanomaterial	
MTBLS277	Replicate	replicate	
