studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number
MTBLS1	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357
MTBLS2	replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090
MTBLS3	gene knockout	gene knock out	http://www.ebi.ac.uk/efo/EFO_0000506
MTBLS4	blood plasma	mixture	http://purl.obolibrary.org/obo/CHEBI_60004
MTBLS5	CarbonDioxide_Quantity_after_initiation	air carbon dioxide content	http://purl.obolibrary.org/obo/XCO_0000012
MTBLS5	CarbonDioxide_Quantity_after_01d	air carbon dioxide content	http://purl.obolibrary.org/obo/XCO_0000012
MTBLS6	Sample type	Sample plate type	
MTBLS6	Spike in volume	Spike in volume	
MTBLS6	Gap Penalty	Gap Penalty	
MTBLS6	Retention Time Modulation	Retention Time Modulation	
MTBLS6	Threshold	Threshold	
MTBLS6	Min Number Ions	Min Number Ions	
MTBLS6	Relative Intensity	Relative Intensity	
MTBLS6	Skewing	Skewing	
MTBLS6	Window	Window	
MTBLS7	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS7	Container_after_14d	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS7	Plants/Container_Quantity_after_14d	Quantity	
MTBLS7	Total Light_100pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS7	Total Light_0pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS7	Total Light_100pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS7	Total Light_0pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS7	Total Light_100pc_after_28d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS7	Total Light_0pc_after_28d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS7	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS7	Medium_after_14d	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS8	growth rate	Events per hour	http://mimi.case.edu/ontologies/2009/1/UnitsOntology#events_per_hour
MTBLS10	Treatment	response to wounding	http://purl.obolibrary.org/obo/GO_0009611
MTBLS11	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS11	Container_after_14d	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS11	Plants/Container_Quantity_after_14d	Quantity	
MTBLS11	Total Light_100pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS11	Total Light_0pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS11	Total Light_100pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS11	Total Light_0pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS11	Total Light_100pc_after_28d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS11	Total Light_0pc_after_28d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS11	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS11	Medium_after_14d	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS12	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS12	Container_after_14d	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS12	Plants/Container_Quantity_after_14d	Quantity	
MTBLS12	Total Light_100pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS12	Total Light_0pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS12	Total Light_100pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS12	Total Light_0pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS12	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS12	Medium_after_14d	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS13	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS13	Container_after_14d	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS13	Plants/Container_Quantity_after_14d	Quantity	
MTBLS13	Total Light_100pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS13	Total Light_0pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS13	Total Light_100pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS13	Total Light_0pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS13	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS13	Medium_after_14d	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS14	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS14	Container_after_04d	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS14	RelativeHumidity_after_04d	Relative humidity	http://purl.bioontology.org/ontology/SNOMEDCT/250829009
MTBLS14	Salt_Quantity_after_initiation	Concentration	
MTBLS14	Salt_Quantity_after_08d	Concentration	
MTBLS14	Salt_Quantity_after_12d	Concentration	
MTBLS14	Salt_Quantity_after_16d	Concentration	
MTBLS14	Temperature_after_04d	temperature	http://www.ebi.ac.uk/efo/EFO_0001702
MTBLS14	Total Light_On_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS14	Total Light_Off_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS14	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS14	Medium_after_04d	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS14	Watering_after_04d	Watering	http://purl.obolibrary.org/obo/XEO_00124
MTBLS15	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS15	Container_after_04d	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS15	RelativeHumidity_after_04d	Relative humidity	http://purl.bioontology.org/ontology/SNOMEDCT/250829009
MTBLS15	Salt_Quantity_after_initiation	Concentration	
MTBLS15	Salt_Quantity_after_08d	Concentration	
MTBLS15	Salt_Quantity_after_12d	Concentration	
MTBLS15	Salt_Quantity_after_16d	Concentration	
MTBLS15	Temperature_after_04d	temperature	http://www.ebi.ac.uk/efo/EFO_0001702
MTBLS15	Total Light_On_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS15	Total Light_Off_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS15	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS15	Medium_after_04d	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS15	Watering_after_04d	Watering	http://purl.obolibrary.org/obo/XEO_00124
MTBLS16	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS16	Container_after_04d	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS16	RelativeHumidity_after_04d	Relative humidity	http://purl.bioontology.org/ontology/SNOMEDCT/250829009
MTBLS16	Salt_Quantity_after_initiation	Concentration	
MTBLS16	Salt_Quantity_after_08d	Concentration	
MTBLS16	Salt_Quantity_after_12d	Concentration	
MTBLS16	Salt_Quantity_after_16d	Concentration	
MTBLS16	Temperature_after_04d	temperature	http://www.ebi.ac.uk/efo/EFO_0001702
MTBLS16	Total Light_On_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS16	Total Light_Off_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS16	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS16	Medium_after_04d	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS16	Watering_after_04d	Watering	http://purl.obolibrary.org/obo/XEO_00124
MTBLS17	Injection	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090
MTBLS17	Experiment	block	http://www.ebi.ac.uk/efo/EFO_0005067
MTBLS18	Treatment	plant treatment	http://purl.obolibrary.org/obo/EO_0001001
MTBLS18	Sampling time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS18	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS19	Batch	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090
MTBLS19	Experiment	block	http://www.ebi.ac.uk/efo/EFO_0005067
MTBLS21	Cultivation Year	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164
MTBLS21	CO2 Concentration	concentration	http://purl.obolibrary.org/obo/CHMO_0002820
MTBLS22	Container_after_initiation	ContainerEnum	http://purl.bioontology.org/ontology/XEO/XEO:00040
MTBLS22	Salt_Quantity_after_initiation	Quantity	
MTBLS22	Salt_Quantity_after_04d	Quantity	
MTBLS22	Salt_Quantity_after_08d	Quantity	
MTBLS22	Salt_Quantity_after_12d	Quantity	
MTBLS22	Salt_Quantity_after_16d	Quantity	
MTBLS22	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS22	Watering_after_initiation	Watering	http://purl.obolibrary.org/obo/XEO_00124
MTBLS23	Treatment	Lipopolysaccharide stimulation	
MTBLS24	Time Collected Urine sample	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS24	Acute Kidney Injury	injury	http://www.ebi.ac.uk/efo/EFO_0000546
MTBLS26	Nutritional status	Nutritional Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17993
MTBLS27	Sex	sex	http://www.ebi.ac.uk/efo/EFO_0000695
MTBLS27	Most recent treatment	Therapeutic Procedure	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49236
MTBLS27	Time elapsed between last chemotherapy and serum collection	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS27	Time elapsed between last radiation therapy and serum collection	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS28	Sample Type	sample	http://purl.obolibrary.org/obo/MS_1000457
MTBLS28	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357
MTBLS28	Race	Race	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17049
MTBLS28	Smoking	Smoking Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19796
MTBLS29	Level measurement type	Level measurement type	
MTBLS29	Cell number	Cell Count	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48938
MTBLS29	Glucose source	Isotope	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47933
MTBLS29	Cell line	Cell Lineage	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17895
MTBLS31	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689
MTBLS32	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689
MTBLS33	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689
MTBLS34	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689
MTBLS35	growth conditon	Growth Medium	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85504
MTBLS35	harvested	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS35	replication	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS36	Cultivars	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136
MTBLS36	Sample Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS36	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067
MTBLS37	Cell Phase	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS39	Year of Harvesting	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164
MTBLS39	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS41	Container_after_initiation	ContainerEnum	http://purl.bioontology.org/ontology/XEO/XEO:00040
MTBLS41	Salt_Quantity_after_initiation	Quantity	
MTBLS41	Salt_Quantity_after_04d	Quantity	
MTBLS41	Salt_Quantity_after_08d	Quantity	
MTBLS41	Salt_Quantity_after_12d	Quantity	
MTBLS41	Salt_Quantity_after_16d	Quantity	
MTBLS41	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS41	Watering_after_initiation	Watering	http://purl.obolibrary.org/obo/XEO_00124
MTBLS42	Container_after_initiation	ContainerEnum	http://purl.bioontology.org/ontology/XEO/XEO:00040
MTBLS42	Salt_Quantity_after_initiation	Quantity	
MTBLS42	Salt_Quantity_after_04d	Quantity	
MTBLS42	Salt_Quantity_after_08d	Quantity	
MTBLS42	Salt_Quantity_after_12d	Quantity	
MTBLS42	Salt_Quantity_after_16d	Quantity	
MTBLS42	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS42	Watering_after_initiation	Watering	http://purl.obolibrary.org/obo/XEO_00124
MTBLS43	Salt_Quantity_after_initiation	Quantity	
MTBLS43	Salt_Quantity_after_08d	Quantity	
MTBLS43	Salt_Quantity_after_12d	Quantity	
MTBLS43	Salt_Quantity_after_16d	Quantity	
MTBLS44	Salt_Quantity_after_initiation	Quantity	
MTBLS44	Salt_Quantity_after_08d	Quantity	
MTBLS44	Salt_Quantity_after_12d	Quantity	
MTBLS44	Salt_Quantity_after_16d	Quantity	
MTBLS46	cardiovascular risk status	cardiovascular risk status	
MTBLS46	gender	gender	
MTBLS47	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067
MTBLS48	Chemical Exposure 	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS48	time point	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS49	Medium	Growth Medium	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85504
MTBLS49	Cell density	Cell Density	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C120538
MTBLS52	variety	Variety	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62709
MTBLS52	drought treatment	drought environment	http://purl.obolibrary.org/obo/EO_0007404
MTBLS52	time point of drought duration	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS53	Incubation time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS53	Renal cancer cells	Yes or No Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38147
MTBLS54	Salt_Quantity_after_initiation	Quantity	
MTBLS54	Salt_Quantity_after_08d	Quantity	
MTBLS54	Salt_Quantity_after_12d	Quantity	
MTBLS54	Salt_Quantity_after_16d	Quantity	
MTBLS55	Storage type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS55	Sample type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS55	Storage time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS56	Tissue	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801
MTBLS56	Development stage	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS57	stress	drought tolerance	http://purl.obolibrary.org/obo/TO_0000276
MTBLS58	Condition	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS58	Sample Growth Conditions	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS59	Spiking	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS59	Apple Sample	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS61	ABCC6 genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513
MTBLS61	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357
