studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number	Definition
MTBLS1	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Sex	http://purl.obolibrary.org/obo/NCIT_C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
MTBLS2	replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Repeat	http://purl.obolibrary.org/obo/NCIT_C47886	Make or do or perform again.
MTBLS3	gene knockout	gene knock out	http://www.ebi.ac.uk/efo/EFO_0000506	
		Gene Knockout	http://purl.obolibrary.org/obo/NCIT_C18143	Refers to the targeted disruption of a gene within its normal biological context.  Utilized to examine the involvement of a gene in a complex biological process.
		gene knockout	http://www.bioassayontology.org/bao#BAO_0002441	"A gene knockout is a genetic technique in which an organism is engineered to carry genes that have been made inoperative (have been ""knocked out"" of the organism)."
MTBLS4	blood plasma	mixture	http://purl.obolibrary.org/obo/CHEBI_60004	
		Portion of plasma	http://purl.obolibrary.org/obo/FMA_62970	Body substance in liquid state contained in the lumen of arterial and venous trees, blood capillary and the cardiac chambers; constitutes the liquid phase of blood.
		blood plasma	http://purl.obolibrary.org/obo/UBERON_0001969	The liquid component of blood, in which erythrocytes are suspended.
		blood plasma	http://purl.obolibrary.org/obo/BTO_0000131	The fluid portion of the blood in which the particulate components are suspended.
		blood plasma	http://purl.obolibrary.org/obo/ENVO_02000027	Blood plasma is a bodily fluid that comprises the liquid component of blood, in which the blood cells are suspended. It makes up about 55% of total blood volume.
		blood plasma	http://purl.obolibrary.org/obo/ZFA_0005654	Portion of organism substance that is the liquid matrix of blood.
MTBLS6	Sample type	Sample plate type		
