studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number	IRI_label
MTBLS1	Metabolic syndrome	metabolic syndrome	http://www.ebi.ac.uk/efo/EFO_0000195	metabolic syndrome
MTBLS2	genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS8	nutrient	nutrient	http://purl.obolibrary.org/obo/CHEBI_33284	nutrient
MTBLS10	Timepoint	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS17	Disease	disease	http://www.ebi.ac.uk/efo/EFO_0000408	disease
MTBLS18	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS19	Disease	disease	http://www.ebi.ac.uk/efo/EFO_0000408	disease
MTBLS20	Material sample	material sample	http://purl.obolibrary.org/obo/OBI_0000747	material sample
MTBLS26	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS27	Disease staging	disease staging	http://www.ebi.ac.uk/efo/EFO_0000410	disease staging
MTBLS27	Age	age	http://www.ebi.ac.uk/efo/EFO_0000246	age
MTBLS29	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	treatment
MTBLS29	Timepoint	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS31	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	treatment
MTBLS31	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428	dose
MTBLS32	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	treatment
MTBLS32	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428	dose
MTBLS33	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	treatment
MTBLS33	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428	dose
MTBLS34	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	treatment
MTBLS34	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428	dose
MTBLS37	Strain	strain	http://www.ebi.ac.uk/efo/EFO_0005135	strain
MTBLS39	Vineyard	vineyard	http://purl.obolibrary.org/obo/ENVO_00000116	vineyard
MTBLS40	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS45	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS47	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS57	genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS57	replicate	replicate	http://www.ebi.ac.uk/efo/EFO_0000683	replicate
MTBLS69	Replicate	replicate	http://www.ebi.ac.uk/efo/EFO_0000683	replicate
MTBLS71	sample treatment protocol	sample treatment protocol	http://www.ebi.ac.uk/efo/EFO_0003809	sample treatment protocol
MTBLS77	Age	age	http://www.ebi.ac.uk/efo/EFO_0000246	age
MTBLS77	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS81	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS87	material sample	material sample	http://purl.obolibrary.org/obo/OBI_0000747	material sample
MTBLS88	material sample	material sample	http://purl.obolibrary.org/obo/OBI_0000747	material sample
MTBLS90	spectrum type	spectrum type	http://purl.obolibrary.org/obo/MS_1000559	spectrum type
MTBLS90	Age	age	http://www.ebi.ac.uk/efo/EFO_0000246	age
MTBLS91	temperature	temperature	http://www.ebi.ac.uk/efo/EFO_0001702	temperature
MTBLS93	Spectrum type	spectrum type	http://purl.obolibrary.org/obo/MS_1000559	spectrum type
MTBLS95	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS95	Replicate	replicate	http://www.ebi.ac.uk/efo/EFO_0000683	replicate
