studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number	IRI_label
MTBLS1	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
MTBLS1	Metabolic syndrome	metabolic syndrome	http://www.ebi.ac.uk/efo/EFO_0000195	metabolic syndrome
MTBLS2	genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS2	replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	technical replicate
MTBLS3	gene knockout	gene knock out	http://www.ebi.ac.uk/efo/EFO_0000506	gene knock out
MTBLS4	blood plasma	mixture	http://purl.obolibrary.org/obo/CHEBI_60004	mixture
MTBLS5	CarbonDioxide_Quantity_after_initiation	air carbon dioxide content	http://purl.obolibrary.org/obo/XCO_0000012	air carbon dioxide content
MTBLS5	CarbonDioxide_Quantity_after_01d	air carbon dioxide content	http://purl.obolibrary.org/obo/XCO_0000012	air carbon dioxide content
MTBLS7	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040	
MTBLS7	Container_after_14d	Container	http://purl.obolibrary.org/obo/XEO_00040	
MTBLS7	Total Light_100pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS7	Total Light_0pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS7	Total Light_100pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS7	Total Light_0pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS7	Total Light_100pc_after_28d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS7	Total Light_0pc_after_28d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS7	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS7	Medium_after_14d	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS8	nutrient	nutrient	http://purl.obolibrary.org/obo/CHEBI_33284	nutrient
MTBLS8	growth rate	Events per hour	http://mimi.case.edu/ontologies/2009/1/UnitsOntology#events_per_hour	
MTBLS10	Timepoint	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS10	Treatment	response to wounding	http://purl.obolibrary.org/obo/GO_0009611	response to wounding
MTBLS11	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040	
MTBLS11	Container_after_14d	Container	http://purl.obolibrary.org/obo/XEO_00040	
MTBLS11	Total Light_100pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
