	0
ncit	138
omit	57
sio	34
efo	19
enm	19
micro	16
genepio	16
scdo	15
ero	15
bao	14
ncro	9
ontoneo	9
idomal	8
agro	8
miapa	7
sbo	7
ovae	7
flu	7
swo	6
exo	6
cco	6
mi	6
sep	6
co_338	6
co_357	6
hp	5
ensemblglossary	5
atol	5
uberon	5
bto	5
cmo	5
omiabis	5
ma	4
fbcv	4
mondo	4
xao	4
zp	4
oba	4
ogg	4
poro	4
bcgo	4
ogi	4
geno	4
foodon	4
mco	4
gaz	4
peco	3
rexo	3
chmo	3
taxrank	3
zeco	3
upheno	3
wbbt	3
fma	3
co_333	3
fbdv	2
sibo	2
hancestro	2
vo	2
doid	2
ms	2
vario	2
emapa	2
clo	2
eol	2
epo	2
co_337	2
pdro	2
ido	2
ancestro	2
mirnao	2
caro	2
opl	2
aeo	2
mp	2
co_360	2
eo	2
aero	2
xco	2
eupath	2
co_334	1
ohd	1
planp	1
co_325	1
co_327	1
probonto	1
obib	1
fbbi	1
opmi	1
tgma	1
bco	1
nmrcv	1
oostt	1
geo	1
mop	1
obcs	1
hao	1
ncbitaxon	1
po	1
mro	1
iao	1
envo	1
oae	1
reto	1
miro	1
ohmi	1
cmpo	1
msio	1
co_321	1
