entity,frequency
"Drosophila <fruit fly, genus>",2
Anthemideae,1
Chromadorea,3
Araliaceae,1
early-diverging eudicotyledons,1
Olea <angiosperm>,1
Pholadomyoida,1
Cupressales,1
Klebsiella,1
Fungi,9
Homo,3
Saccharomycetales,7
Mollicutes,2
Micromonas,1
Craniata <chordata>,25
Malus,1
Terebrantes,1
Cupressaceae,1
Malvales,1
Loliinae,1
Liliopsida,14
Arabidopsis,2
Panax,1
Apini,1
Saurischia,1
Plantago,1
Diplogasterida,1
Fungiina,4
Tetrapoda,25
Alismatales,5
Poeae,1
Caprifoliaceae,1
Gunneridae,62
Poritidae,4
Corynebacteriales,2
Eumalacostraca,2
Acrogymnospermae,1
Schizophora,2
Streptophyta,78
Rhodiola,1
Aphidomorpha,1
Ailuropoda,1
Apis,1
Triticinae,2
Insecta,8
prasinophytes,1
Mentheae,1
Oleaceae,2
Cercopithecinae,1
Caryophyllaceae,1
Diplostraca,2
Lolium,1
Ephydroidea,2
Equidae,1
Lactucinae,1
Iridaceae,1
Saccharomycetaceae,1
Lactobacillaceae,1
Synechocystis,1
Hominoidea,3
Phyllantheae,1
Irciniidae,1
Candida/Lodderomyces clade,3
Lactobacillus,1
Aedini,1
Clionaida,1
Daphniidae,2
Bivalvia,1
Chordata,25
Amphipoda,2
Lampyrinae,1
Terebratulidina,1
Nicotianoideae,2
Vitis,1
Mediterranean clade,1
Nepetoideae,1
Sophophora,2
Braconidae,1
Lampyridae,1
rosids incertae sedis,2
Eumetazoa,57
Aphidini,1
Bacillus <bacterium>,1
Aphis <genus>,1
Holothuroidea,1
Cyanobacteria/Melainabacteria group,2
Aves,1
lamiids,9
Chlorophyceae,1
Phyllanthoideae,1
Amniota,23
BOP clade,5
Aphidoidea,1
Seriatopora,1
Sauropsida,1
"Mus <mouse, subgenus>",2
Populus,2
Theropoda,1
Sorghinae,1
Calanoida,1
Synechococcales,1
Malpighiales,5
Coscinodiscophyceae,2
Clavispora,1
Catarrhini,4
Brachiopoda,1
melanogaster subgroup,2
Oryzoideae,1
Leucantheminae,1
Saliceae,2
Acromyrmex,1
Cladocera,2
mimosoid clade,12
Ranunculales,1
Euglenaceae,1
Garcinia,1
Glires,8
Xenopus <genus>,1
Spheciospongia,1
Anthozoa,12
Panicoideae,2
Leishmania mexicana species complex,1
Apidae,1
Leporidae,1
Hypsogastropoda,1
Apiineae,2
Malacostraca,2
Thalassiosira,1
Paraneoptera,1
Crassulaceae,2
Nicotianeae,2
Leishmania <genus>,4
Dictyoceratida,1
Aphis <subgenus>,1
Poales,7
Suessiales,1
Trypanosomatidae,5
Cyclorrhapha,2
Tenericutes,2
Aquifoliales,1
Lagomorpha,1
Fraxinus,1
Attini,1
Brassica,4
Oleeae,2
Maleae,1
Demospongiae,2
Saccharomyces,1
Enterobacterales,5
Mycoplasmatales,2
Rosoideae unplaced,1
rosids,40
Aphididae,1
Glycine,2
Triticeae,3
Plantaginaceae,1
Pichiaceae,1
Senecioninae,1
Zea,1
Pterygota <winged insects>,8
Theria <Mammalia>,21
Magnoliophyta,77
Solanaceae,4
Pandoroidea,1
Caenogastropoda,1
Terrabacteria group,11
Peracarida,2
Laternulidae,1
Culicoidea,1
Euarchontoglires,12
Cricetinae,1
Cercopithecidae,1
Dikarya,8
malvids,8
Cercopithecoidea,1
Mixed fungal DNA libraries,1
Gammaproteobacteria,9
Astragalus,1
Carica,1
Vespoidea,1
Mycobacterium,1
Porifera,2
Mollusca,2
Rhabditida,2
Euglenida,1
Thalassiosiraceae,1
Littorinimorpha,1
Oryzeae,1
Formicidae,1
Mustelidae,2
Asteraceae,5
Solanum,2
Pseudostellaria,1
Brassicales,7
Trypanozoon,1
Aphidiinae,1
Escherichia coli,1
Chlorellales incertae sedis,1
Euglena,1
Litoria,1
Metazoa,59
Arthropoda,13
Euglenales,1
Corynebacteriaceae,1
Aculeata,2
Deuterostomia,26
Kalanchoe,1
Photinus,1
Maxillopoda,1
Pelodryadinae,1
Acropora,1
Mustela,2
Holometabola,7
Tracheophyta,78
Anomalodesmata,1
Hominidae,3
Eremoneura,2
Triticodae,3
Leishmania <subgenus>,4
Actinobacteria <class>,3
Cucumariidae,1
Opisthokonta,68
Pocillopora,3
Mamiellales,1
Aphidinae,1
Mustela putorius,1
Sorghum,1
Pseudomonas fluorescens group,1
Rosoideae,1
Petrosaviidae,9
Pipoidea,1
Pseudomonas aeruginosa group,2
Spirastrellidae,1
Pseudomonas,4
Lemna,2
Euphorbiaceae,1
Asteroideae,2
Manihoteae,1
Stramenopiles,2
Liothyrella,1
Muroidea,7
Dipnotetrapodomorpha,25
Chlamydomonas,1
Cichoriinae,1
Laternula,1
Archosauria,1
Daphnia,2
Sternorrhyncha,1
Drosophilidae,2
Maloideae,1
Euteleostomi,25
Rhynchonelliformea,1
Elateroidea,1
Bilateria,45
Apoidea,1
Ruminantia,3
Trypanosoma,1
Anura,2
Dalbergieae,1
Heteroscleromorpha,1
Ingeae,12
Papaveroideae,1
Perissodactyla,1
Astrocoeniina,8
Xenopodinae,1
Aedes <genus>,1
Salmonella,1
Bos,1
Bacilli,4
Saccharomycetes,7
Mackinlayoideae,1
Clusiaceae,1
Lactuca,1
Debaryomycetaceae,4
Euglenozoa,6
Phyllanthaceae,1
Protostomia,19
Macleaya <angiosperm>,1
Rattus,3
Fabaceae,23
Solanales,4
Caenorhabditis,2
Alphaproteobacteria,1
Hexapoda,8
Aquifoliaceae,1
Poodae,1
Chlorellales,1
Schizosaccharomyces,1
Firmicutes,4
Saxifragales,2
Thalassiosirophycidae,2
melanogaster group,2
Cypraeoidea,1
Nematocera,1
Culicomorpha,1
Landoltia,1
Teleostomi,25
unclassified Symbiodinium,1
Archelosauria,1
Oryzinae,1
Dendrochirotacea,1
Galloanserae,1
Crotonoideae,1
Apiales,2
saccharomyceta,7
Bovinae,1
Laurasiatheria,9
Mycobacteriaceae,1
Solanoideae,2
Actinobacteria <phylum>,3
Caniformia,3
Culicidae,1
Lamellariidae,1
Sarcopterygii,25
Mycobacterium tuberculosis complex,1
Terebratuloidea,1
Lamiaceae,1
Euphyllophyta,78
Trebouxiophyceae,1
Sus,2
Pipidae,1
Ascomycota,8
Mamiellophyceae,1
Stegomyia,1
Camelineae,2
Alsineae,1
Hymenoptera,3
Boreoeutheria,21
Terebratulidae,1
Sauria,1
Rhizobiales,1
Corynebacterium,1
Coleoptera,1
Equus,1
Brassiceae,4
Pocilloporidae,4
Bacillariophyta,2
Merismopediaceae,1
Ericales,1
cellular organisms,179
Lactobacillales,1
Acroporidae,4
unclassified Mammalia,1
Dipsacales,1
Lamiales,5
Tripsacinae,1
Murinae,6
Caesalpinioideae,12
Dendrochirotida,1
Porites,3
Papio,1
Rhizobiaceae,1
Apinae,1
Acalyptratae,2
Taphrinomycotina,1
Simiiformes,4
Haplorrhini,4
Gnathostomata <vertebrate>,25
Salicaceae,2
Mamiellaceae,1
Oryctolagus,1
Streptophytina,78
Rodentia,7
Primates,4
Cyanobacteria,2
Centaureinae,1
Sinorhizobium,1
Montipora,1
Mycoplasmataceae,2
fabids,30
Mandibulata,13
Gallus,1
Crustacea,5
Calanidae,1
Lysiphlebia,1
Viridiplantae,81
Dinophyceae,1
Ilex,1
Pichia,1
Caricaceae,1
Symbiodinium,1
Manihot,1
Papaveraceae,1
Vertebrata <Metazoa>,25
Batrachia,2
PACMAD clade,2
Eleutherozoa,1
Araceae,5
Amphibia,2
Polyphaga <Coleoptera>,1
root,179
Hylidae,1
Pseudomonadales,4
Senecioneae,1
Embryophyta,78
Leucanthemum,1
Phyllopoda,2
Echinodermata,1
Phasianinae,1
Hordeinae,1
Poeae Chloroplast Group 2 (Poeae type),1
Cetartiodactyla,5
Lemnoideae,5
Solaneae,2
Echinozoa,1
Brachycera,2
Enterobacteriaceae,5
Poaceae,7
commelinids,7
Streptomyces,1
Pancrustacea,13
Sinorhizobium/Ensifer group,1
Myrmicinae,1
Pseudomonadaceae,4
Ursidae,1
Phasianidae,1
Rosales,2
Andropogonodae,2
Hadziida,2
Symbiodiniaceae,1
Camellia,1
Asparagales,2
Neocopepoda,1
Coelurosauria,1
Staphylococcaceae,2
Schizosaccharomycetes,1
Neodiplogasteridae,1
Phaseoleae,2
Copepoda,1
Hemiptera,1
Meyerozyma,1
Xenopus <subgenus>,1
Pseudomonas putida group,1
Apocrita,3
Sus scrofa,1
Hadziidae,2
Drosophilini,2
Muridae,6
Staphylococcus,2
Terebratulida,1
Asparagaceae,1
Cichorioideae,2
Chlamydomonadaceae,1
Theaceae,1
Chlamydomonadales,1
Hexacorallia,12
Equus <subgenus>,1
Myomorpha,7
Garcinieae,1
Ircinia,1
Rhynchonellata,1
Skeletonema marinoi-dohrnii complex,1
Ichneumonoidea,1
Apiaceae,1
Paraceradocus,1
Branchiopoda,2
Hadzioidea,2
Rosaceae,2
Schizosaccharomycetaceae,1
Caprinae,2
Vitaceae,2
Neognathae,1
Bovidae,3
Vitales,2
Papilionoideae,11
Neobatrachia,1
Mesangiospermae,77
Soja,2
Nematoda,3
Triticum,2
Knautia,1
Rhabditoidea,2
Hyloidea,1
Streptomycetaceae,1
Suidae,2
Crocus,1
Homininae,3
asterids,19
Centaurea,1
Dicondylia,8
Plantagineae,1
Mycoplasma,2
Asterales,5
Bacillales,3
Mustelinae,2
Pinidae,1
Pristionchus,1
Malvaceae,1
Streptomycetales,1
Schizosaccharomycetales,1
Pentapetalae,62
Carduoideae,1
Leishmaniinae,4
Lycopersicon,2
Eukaryota,158
Gymnoplea,1
Pecora,3
Hordeum,1
Scleractinia,12
Marseniopsis,1
Eutheria,21
Diptera,3
Cichorieae,2
Bacteria,21
Cnidaria,12
Neoptera,8
Spermatophyta,78
"Mus <mouse, genus>",2
Galegeae,1
Cichorium,1
Cucumaria,1
campanulids,9
Caryophyllales,1
Bacillaceae,1
Kinetoplastida,5
Keratosa,1
Proteobacteria,10
Centella,1
Agave,1
Skeletonema,1
Elateriformia,1
Panarthropoda,13
Nicotiana,2
Arachis,1
Phyllanthus <angiosperm>,1
Mammalia,22
Malvoideae,1
Senticaudata,2
Andropogoneae,2
Saccharomycotina,7
Cricetulus,1
Chlorophyta,3
Anomopoda,2
Inga <angiosperm>,12
Pooideae,4
Agavoideae,1
Suina,2
Skeletonemataceae,1
Dinosauria,1
Gossypium,1
Leishmania donovani species complex,2
Escherichia,3
eudicotyledons,63
Muscomorpha,2
Brassicaceae,6
Spirodela,1
Ovis,2
Gastropoda,1
Rhabditidae,2
Rubus,1
Culicinae,1
Alveolata,1
Cardueae,1
Candida <Debaryomycetaceae>,3
Carnivora,3
Thalassiosirales,2
Oryza,1
Cricetidae,1
Metschnikowiaceae,1
Peloderinae,2
Drosophilinae,2
Loteae,7
Lophotrochozoa,3
Ecdysozoa,16
Lotus,7
Fabales,23
Galliformes,1
