Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS1	" ""ADG10003u"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS101	" ""Urine-01"""	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS10	" ""02sa00l00h1a1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS100	" ""S11b"""	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	saliva	BTO	http://purl.obolibrary.org/obo/BTO_0001202
MTBLS103	" ""CON_BASA_567795"""	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133
MTBLS102	" ""cell culture supernatant"""	Homo sapiens/NCBITAXON:Staphylococcus aureus	NCBITAXON				
MTBLS104	" ""NPY treatment"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	SK-N-BE(2) cell	BTO	http://purl.obolibrary.org/obo/BTO_0002696
MTBLS105	" ""S_01"""	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood plasma	EFO	http://purl.obolibrary.org/obo/UBERON_0001969
MTBLS105	" ""S_01"""	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS105	" ""Source Name"""	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number
MTBLS108	" ""Tomato Fruit Sample"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081			
MTBLS11	" ""rg2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702			
MTBLS112	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	spike	BTO	http://purl.obolibrary.org/obo/BTO_0001278
MTBLS114	" ""serum"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116		EFO	http://www.ebi.ac.uk/efo/EFO_0001342
MTBLS113	" ""Algae cell pellet"""	Euglena gracilis	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3039			
MTBLS113	" ""Standard wax ester"""	reference compound	BAO	http://www.bioassayontology.org/bao#BAO_0002092			
MTBLS115	" ""Saccharomyces cerevisae control"""	Saccharomyces cerevisiae	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4932	endometabolome		
MTBLS117	" ""C24 I POSITIVE MODE"""	Glycine max	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3847			
MTBLS116	" ""Twn001_MA10"""	Montipora aequituberculata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/105609	whole organism	EFO	http://www.ebi.ac.uk/efo/EFO_0002906
MTBLS116	" ""Twn001_MA10"""	Montipora aequituberculata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/105609	endometabolome		
MTBLS116	" ""Twn009_PD12"""	Pocillopora damicornis	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/46731	whole organism	EFO	http://www.ebi.ac.uk/efo/EFO_0002906
MTBLS116	" ""Twn009_PD12"""	Pocillopora damicornis	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/46731	endometabolome		
MTBLS116	" ""Twn017_PL17"""	Porites lobata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/104759	whole organism	EFO	http://www.ebi.ac.uk/efo/EFO_0002906
MTBLS116	" ""Twn017_PL17"""	Porites lobata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/104759	endometabolome		
MTBLS116	" ""Twn025_SH39"""	Seriatopora hystrix	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/51070	whole organism	EFO	http://www.ebi.ac.uk/efo/EFO_0002906
MTBLS116	" ""Twn025_SH39"""	Seriatopora hystrix	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/51070	endometabolome		
MTBLS116	" ""Var_PC1"""	Porites compressa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/46720	whole organism	EFO	http://www.ebi.ac.uk/efo/EFO_0002906
MTBLS116	" ""Var_PC1"""	Porites compressa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/46720	endometabolome		
MTBLS119	" ""stem wood methanolic extract"""	Populus tremula x Populus alba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/80863			
MTBLS120	" ""seed extract, lipid-depleted"""	Glycine max	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3847	seed	BTO	http://purl.obolibrary.org/obo/BTO_0001226
MTBLS123	" ""Pig Serum 1"""	Sus scrofa domesticus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9825	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133
MTBLS123	" ""Pig Urine 1"""	Sus scrofa domesticus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9825	urine	BTO	
MTBLS124	" ""subject_1502"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS125	" ""Mouse 01"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090		NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239
MTBLS127	" ""HepG2"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Hep-G2 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000599
MTBLS127	" ""HaCaT"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	HaCaT cell	BTO	http://purl.obolibrary.org/obo/BTO_0000552
MTBLS127	" ""C2C12"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C2C12 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000165
MTBLS128	" ""CeBiTec Bielefeld Uiversity.Group-1.Subject-1"""	Corynebacterium glutamicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1718			
MTBLS128	" ""CeBiTec Bielefeld Uiversity.Group-1.Subject-1"""	Corynebacterium glutamicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1718		NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413
MTBLS128	" ""CeBiTec Bielefeld Uiversity.Group-2.Subject-1"""	Corynebacterium glutamicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1718		EFO	http://purl.obolibrary.org/obo/NCBITaxon_196627
MTBLS129	" ""Seedling"""	Arabidopsis thaliana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	BTO	http://purl.obolibrary.org/obo/BTO_0001228
MTBLS134	" ""in-house standard"""	reference compound	BAO	http://www.bioassayontology.org/bao#BAO_0002092	mixture	CHMO	http://purl.obolibrary.org/obo/CHEBI_60004
MTBLS137	" ""Neubrandenburg grape collection"""	Vitis vinifera	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/29760			
MTBLS14	" ""rg6"""	Lotus japonicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/34305			
MTBLS14	" ""rg7"""	Lotus filicaulis	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/264956			
MTBLS14	" ""rg8"""	Lotus burttii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/645164			
MTBLS14	" ""rg4"""	Lotus corniculatus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/47247			
MTBLS14	" ""rg2"""	Lotus tenuis	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/347996			
MTBLS14	" ""rg3"""	Lotus uliginosus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/181288			
MTBLS14	" ""rg1"""	Lotus creticus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/181267			
MTBLS140	" ""RPEC/TERT1"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	renal proximal tubule	BTO	http://purl.obolibrary.org/obo/BTO_0001498
MTBLS140	" ""reference compound"""	reference compound	BAO	http://www.bioassayontology.org/bao#BAO_0002092	pure substance	CHEBI	http://purl.obolibrary.org/obo/CHEBI_60003
MTBLS141	" ""05ACC1"""	Arabidopsis thaliana				NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702
MTBLS143	" ""920025"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090		EFO	http://www.ebi.ac.uk/efo/EFO_0004472
MTBLS144	" ""diatom metabolites"""	Thalassiosira pseudonana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/35128		EFO	http://purl.obolibrary.org/obo/NCBITaxon_296543
MTBLS146	" ""PDP12AI00290-4"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606		EFO	http://www.ebi.ac.uk/efo/EFO_0003161
MTBLS149	" ""BDL"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116		EFO	http://www.ebi.ac.uk/efo/EFO_0001352
MTBLS150	" ""intracellular"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	ovarian serous adenocarcinoma cell line	BTO	http://purl.obolibrary.org/obo/BTO_0003804
MTBLS151	" ""Plant materials"""	Oryza sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4530			
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS156	" ""A2780_24h_d_1"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780cisR_24h_c_48"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780cisR cell		
MTBLS156	" ""HEK_24h_c_79"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007
MTBLS157	" ""bacterial metabolites"""	Ruegeria pomeroyi				EFO	http://purl.obolibrary.org/obo/NCBITaxon_246200
MTBLS160	" ""Lab Blank"""	blank			hydroponic plant culture media	PECO	http://purl.obolibrary.org/obo/EO_0007067
MTBLS161	" ""Blood"""	Human	NCBITAXON	http://purl.bioontology.org/ontology/STY/T016	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133
MTBLS161	" ""Urine"""	Human	NCBITAXON	http://purl.bioontology.org/ontology/STY/T016	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS161	" ""Blood"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133
