Study Submission Date,MTBLS ID,Study Type,Species,Study Publication Date,Status,Submitter Name,WND,Assigned to,Isatab completeness,Metabolites Added,Additional files,Paper,PMID/DOI,Data in repository,Last Updated Date,Google Drive folder Name,Validation,Author feedback,COSMOS / PhenoMeNal partner study?,Blue?,Light Purple 3?,Current Status,Additional Notes,Size (MB),Accumalated size,Month since Jan 2012,Average size of studies:,31545,1270
2012-02-14,MTBLS1,NMR,Homo sapiens,2012-02-14,Public,Reza Salek,,,Done,Yes - Full,,Pubmed link,,Full,2017-11-02,MTBLS1 - 20171102_LEG,Passes,,,1,,Pending,"Metabolites to be sorted.
",148.82,149,2,,,
2012-05-22,MTBLS2,UPLC-QTOF-MS,Arabidopsis thaliana,2012-05-22,Public,Steffen Neumann,,,Done,Yes - Full,,Pubmed link,,Full,2016-01-29,MTBLS2 - 20150803_LEG,Passes,,Y,1,,Pending,"Metabolites to be sorted.
","6,357.94","6,507",5,,,
2012-02-14,MTBLS3,GC-Q-MS,Caenorhabditis elegans,2012-02-14,Public,Reza Salek,,Reza,Done,Yes - Full,,Pubmed link,,Full,2015-12-03,MTBLS3 - 20151203_LEG,Passes,,,1,,Pending,"Metabolites to be sorted.
",208.89,"6,716",2,,,
2012-02-14,MTBLS4,UPLC-LTQ-MS,Homo sapiens,2012-02-14,Public,Albert Koulman,,Reza,Done,Yes - Full,,Pubmed link,,Full,2012-02-14,MTBLS4 - 20150803_LEG,Passes,,Y,1,,Pending,Better.  LysoPC in MIF needs to be corrected to lysoPC.,"3,485.77","10,201",2,,,
2015-09-11,MTBLS5,GC-TOF-MS,Synechocystis sp. PCC 6803,2015-09-14,Public,Joachim Kopka,,Mark,Done,Yes - Full,,Pubmed link,,Full,2017-03-22,Golm1A_MTBLS5 - 20150903_LEG,Passes,,Y,1,,Full,Golm1,"1,317.36","11,519",45,,,
2012-03-29,MTBLS6,GC-Q-MS,Bos taurus;reference compound,2012-03-29,Public,Sean O'Callaghan,,Reza,Done,No,,Pubmed link,,Full,2015-12-03,MTBLS6 - 20151203_LEG,,,,1,,Basic,,261.48,"11,780",3,,,
2015-09-11,MTBLS7,GC-TOF-MS,Arabidopsis thaliana,2015-09-14,Public,Joachim Kopka,,Mark,Done,No,,No,,Full,2017-03-22,Golm2A_MTBLS7 - 20150903_LEG,Passes,,Y,1,,Basic,Golm2,"4,270.75","16,051",45,,,
2012-04-19,MTBLS8,GC-TOF-MS,Saccharomyces cerevisiae,2012-04-19,Public,Juan Castrillo,,Reza,Done,Yes - Full,,Pubmed link,,Full,2015-12-04,MTBLS8 - 20151203_LEG,Passes,,,1,,,Most recent metabolite annotation file needs to be uploaded.,"5,006.29","21,057",4,,,
2017-09-18,MTBLS9,NMR,Arabidopsis thaliana,2017-09-18,Public,James Ellis,R,Mark,Done,Yes - Full,Excel,Pubmed link,,Full,2018-05-14,MTBLS9 - 20170918_LEG,Passes,Awaiting,,1,,Full,Submit to main.  Validation needed 2012 config file. Author was going to add reliability data to MAF.  No reply repeatedly. Publish as is current.  RESURRECTED.,1.65,"21,059",69,,,
2012-08-14,MTBLS10,HPLC-QTOF-MS,Nicotiana attenuata,2012-08-14,Public,Steffen Neumann,,Mark,Done,Yes - Full,,Pubmed link,,Full,2015-11-05,MTBLS10 - 20150930_LEG,Passes,,Y,1,,Full,,180.49,"21,239",8,,,
2015-09-11,MTBLS11,GC-TOF-MS,Arabidopsis thaliana,2015-09-14,Public,Joachim Kopka,,Mark,Done,Yes - Full,,No,,Full,2017-03-22,Golm3A_MTBLS11 - 20150903_LEG,Passes,,Y,1,,Full,Golm3,"4,043.94","25,283",45,,,
2015-09-11,MTBLS12,GC-TOF-MS,Arabidopsis thaliana,2015-09-14,Public,Joachim Kopka,,Mark,Done,Yes - Full,,No,,Full,2017-03-22,Golm4A_MTBLS12 - 20150903_LEG,Passes,,Y,1,,Full,Golm4,"2,607.70","27,891",45,,,
2015-09-11,MTBLS13,GC-TOF-MS,Arabidopsis thaliana,2015-09-14,Public,Joachim Kopka,,Mark,Done,Yes - Full,,No,,Full,2017-03-22,Golm5A_MTBLS13 - 20150903_LEG,Passes,,Y,1,,Full,Golm5,"3,136.61","31,028",45,,,
