Study Submission Date	MTBLS ID	Study Type	Species	Study Publication Date	Status	Submitter Name	Place Holder	WND	Assigned to	Isatab completeness	Metabolites Added	Additional files	Paper	PMID/DOI	Data in repository	Last Updated Date	Google Drive folder Name	Validation	Author feedback	COSMOS / PhenoMeNal partner study?	Blue?	Light Purple 3?	ChEBI/MAF update required	Current Status	Additional Notes	Size (MB)	Accumalated size	Month since Jan 2012	Average size of studies:	26130	935
2012-02-14	MTBLS1	NMR	Homo sapiens	2012-02-14	Public	Reza Salek				Done	Yes - Full		Pubmed link		Full	2017-11-02	MTBLS1 - 20171102_LEG	Passes			1			Pending	Metabolites to be sorted. 	147.95	148	2			
2012-05-22	MTBLS2	UPLC-QTOF-MS	Arabidopsis thaliana	2012-05-22	Public	Steffen Neumann				Done	Yes - Full		Pubmed link		Full	2016-01-29	MTBLS2 - 20150803_LEG	Passes		Y	1			Pending	Metabolites to be sorted. 	6,357.95	6,506	5			
2012-02-14	MTBLS3	GC-Q-MS	Caenorhabditis elegans	2012-02-14	Public	Reza Salek			Reza	Done	Yes - Full		Pubmed link		Full	2015-12-03	MTBLS3 - 20151203_LEG	Passes			1			Pending	Metabolites to be sorted. 	208.89	6,715	2			
2012-02-14	MTBLS4	UPLC-LTQ-MS	Homo sapiens	2012-02-14	Public	Albert Koulman			Reza	Done	Yes - Full		Pubmed link		Full	2012-02-14	MTBLS4 - 20150803_LEG	Passes		Y	1			Pending	Better.  LysoPC in MIF needs to be corrected to lysoPC.	3,485.77	10,201	2			
2015-09-11	MTBLS5	GC-TOF-MS	Synechocystis sp. PCC 6803	2015-09-14	Public	Joachim Kopka			Mark	Done	Yes - Full		Pubmed link		Full	2017-03-22	Golm1A_MTBLS5 - 20150903_LEG	Passes		Y	1			Full	Golm1	1,317.36	11,518	45			
2012-03-29	MTBLS6	GC-Q-MS	Bos taurus;reference compound	2012-03-29	Public	Sean O'Callaghan			Reza	Done	No		Pubmed link		Full	2015-12-03	MTBLS6 - 20151203_LEG				1			Basic		261.48	11,779	3			
2015-09-11	MTBLS7	GC-TOF-MS	Arabidopsis thaliana	2015-09-14	Public	Joachim Kopka			Mark	Done	No		No		Full	2017-03-22	Golm2A_MTBLS7 - 20150903_LEG	Passes		Y	1			Basic	Golm2	4,270.75	16,050	45			
2012-04-19	MTBLS8	GC-TOF-MS	Saccharomyces cerevisiae	2012-04-19	Public	Juan Castrillo			Reza	Done	Yes - Full		Pubmed link		Full	2015-12-04	MTBLS8 - 20151203_LEG	Passes			1				Most recent metabolite annotation file needs to be uploaded.	5,006.29	21,056	4			
2017-09-18	MTBLS9	NMR	Arabidopsis thaliana	2017-09-18	Submitted	James Ellis		R	Mark	Done	Yes - Full	Excel	Pubmed link		Full	2018-09-20	MTBLS9 - 20170918_LEG	Passes	Awaiting					Full	Submit to main.  Validation needed 2012 config file. Author was going to add reliability data to MAF.  No reply repeatedly. Publish as is current.  RESURRECTED.	1.65	21,058	69			
2012-08-14	MTBLS10	HPLC-QTOF-MS	Nicotiana attenuata	2012-08-14	Public	Steffen Neumann			Mark	Done	Yes - Full		Pubmed link		Full	2015-11-05	MTBLS10 - 20150930_LEG	Passes		Y	1			Full		180.49	21,239	8			
2015-09-11	MTBLS11	GC-TOF-MS	Arabidopsis thaliana	2015-09-14	Public	Joachim Kopka			Mark	Done	Yes - Full		No		Full	2017-03-22	Golm3A_MTBLS11 - 20150903_LEG	Passes		Y	1			Full	Golm3	4,043.94	25,282	45			
2015-09-11	MTBLS12	GC-TOF-MS	Arabidopsis thaliana	2015-09-14	Public	Joachim Kopka			Mark	Done	Yes - Full		No		Full	2017-03-22	Golm4A_MTBLS12 - 20150903_LEG	Passes		Y	1			Full	Golm4	2,607.70	27,890	45			
2015-09-11	MTBLS13	GC-TOF-MS	Arabidopsis thaliana	2015-09-14	Public	Joachim Kopka			Mark	Done	Yes - Full		No		Full	2017-03-22	Golm5A_MTBLS13 - 20150903_LEG	Passes		Y	1			Full	Golm5	3,136.61	31,027	45			
2015-09-11	MTBLS14	GC-TOF-MS	Lotus japonicus;Lotus burttii;Lotus creticus;Lotus filicaulis;Lotus corniculatus;Lotus uliginosus;Lotus tenuis	2015-09-14	Public	Joachim Kopka			Mark	Done	Yes - Full		Pubmed link		Full	2017-03-22	Golm6A_MTBLS14 - 20150903_LEG	Passes		Y	1			Full	Golm6	3,613.74	34,641	45			
2015-09-11	MTBLS15	GC-TOF-MS	Lotus burttii;Lotus creticus;Lotus tenuis;Lotus corniculatus;Lotus japonicus;Lotus uliginosus;Lotus filicaulis	2015-09-14	Public	Joachim Kopka			Mark	Done	Yes - Full		Pubmed link		Full	2017-03-22	Golm7A_MTBLS15 - 20150903_LEG	Passes		Y	1			Full	Golm7	3,576.28	38,217	45			
2015-09-11	MTBLS16	GC-TOF-MS	Lotus japonicus;Lotus uliginosus;Lotus tenuis;Lotus filicaulis;Lotus corniculatus;Lotus burttii	2015-09-14	Public	Joachim Kopka			Mark	Done	Yes - Full		Pubmed link		Full	2017-03-22	Golm8A_MTBLS16 - 20150903_LEG	Passes		Y	1			Full	Golm8	3,124.55	41,341	45			
2013-06-11	MTBLS17	UPLC-QTOF-MS	Homo sapiens	2013-06-30	Public	Jinlian Wang, Habtom Ressom			Mark	Done	Yes - Full		Pubmed link		Full	2015-12-04	MTBLS17 - 20151204_LEG	Passes			1			Full	 	28,240.66	69,582	18			
2015-06-08	MTBLS18	UPLC-QTOF-MS;UPLC-DAD	Arabidopsis thaliana	2018-10-31	In Review	Steffen Neumann			Mark	Done	Yes - Full		Pubmed link		Full	2017-11-02	MTBLS18 - 20170918_LEG	Passes		Y	1			Pending	Waiting for another R script and final approval from Steffan before it gors PUBLIC. Curation completed.	62,612.34	132,194	42			
2013-06-11	MTBLS19	UPLC-QTOF-MS	Homo sapiens	2013-06-30	Public	Jinlian Wang, Habtom Ressom			Mark	Done	Yes - No data		Pubmed link		Full	2015-12-04	MTBLS19 - 20151204_LEG	Passes			1			Full	 	9,339.49	141,534	18			
2012-08-06	MTBLS20	FIA-LTQ-MS/MS;UPLC-LTQ-MS/MS	reference compound;Homo sapiens	2013-07-26	Public	Christophe Junot			Mark	Done	Yes - Full		Pubmed link		Full	2015-12-04	MTBLS20 - 20151204_LEG	Passes			1			Full		4,673.08	146,207	8			
2012-09-21	MTBLS21	GC-QIT-MS	Triticum aestivum	2012-09-21	Public	Nils Hoffmann			Mark	Done	No		Pubmed link		Full	2015-12-11	MTBLS21 - 20151211_LEG	Passes			1			Full		935.08	147,142	9			
2015-09-11	MTBLS22	GC-TOF-MS	Arabidopsis thaliana	2015-09-14	Public	Joachim Kopka			Mark	Done	Yes - Full		Pubmed link		Full	2017-03-22	Golm9A_MTBLS22 - 20150903_LEG	Passes		Y	1			Full	Golm9	1,123.14	148,265	45			
