name,abbr,class_num,pro_num,modified date,url,description
Amphibian Gross Anatomy Ontology ,AAO,1636,1,2/6/15,https://bioportal.bioontology.org/ontologies/AAO,A structured controlled vocabulary of the anatomy of Amphibians
Allen Brain Atlas ,ABA,913,2,8/9/09,https://bioportal.bioontology.org/ontologies/ABA-AMB,Allen Brain Atlas P56 Mouse Ontology
Anthology of Biosurveillance Diseases ,ABD,1445,,9/14/16,https://bioportal.bioontology.org/ontologies/ABD,"Our disease ontology provides information on infectious diseases, disease synonyms, transmission pathways, disease agents, affected populations and disease properties"
Cancer Research and Management ACGT Master Ontology ,ACGT-MO,1770,,3/17/10,https://bioportal.bioontology.org/ontologies/ACGT-MO,The intention of the ACGT Master Ontology (MO) is to represent the domain of cancer research and management in a computationally tractable manner.
AdaLab ontology ,ADALAB,460,1,6/29/17,https://bioportal.bioontology.org/ontologies/ADALAB,AdaLab ontology
AdaLab-meta ontology ,ADALAB-META,78,1,9/15/17,https://bioportal.bioontology.org/ontologies/ADALAB-META,AdaLab meta ontology.
Autism DSM-ADI-R ontology ,ADAR,791,,4/8/15,https://bioportal.bioontology.org/ontologies/ADAR,The autism DSM-ADI-R (ADAR) ontology extends an ontology by Tu et al
Nurse Administrator ,ADMIN,44,1,9/24/15,https://bioportal.bioontology.org/ontologies/ADMIN,This is an ontology showing a nurse administrator's process domain
Alzheimer's disease ontology ,ADO,1565,,7/23/13,https://bioportal.bioontology.org/ontologies/ADO,"ADO is a first attempt to develop an open, public ontology representing relevant knowledge on Alzheimer’s disease."
Animal Natural History and Life History Ontology ,ADW,364,,9/1/10,https://bioportal.bioontology.org/ontologies/ADW,An ontology for animal life history and natural history characteristics suitable for populations and higher taxonomic entities.
Anatomical Entity Ontology ,AEO,250,2,11/23/17,https://bioportal.bioontology.org/ontologies/AEO,"AEO is an ontology of anatomical structures that expands CARO, the Common Anatomy Reference Ontology, to about 200 classes using the is_a relationship; it thus provides a detailed type classification for tissues"
Adverse Event Reporting Ontology ,AERO,454,2,9/13/13,https://bioportal.bioontology.org/ontologies/AERO,"The Adverse Event Reporting Ontology (AERO) is an ontology aimed at supporting clinicians at the time of data entry, increasing quality and accuracy of reported adverse events."
AGRonomy Ontology ,AGRO,1685,1,5/15/18,https://bioportal.bioontology.org/ontologies/AGRO,"AGRO, the AGRonomy Ontology, describes agronomic practices, agronomic techniques, and agronomic variables used in agronomic experiments"
Artificial Intelligence Rheumatology Consultant System Ontology ,AI-RHEUM,808,,4/6/18,https://bioportal.bioontology.org/ontologies/AI-RHEUM,AI/RHEUM is used for the diagnosis of rheumatologic diseases
Allergy Detector II ,ALLERGYDETECTOR,12,,5/2/15,https://bioportal.bioontology.org/ontologies/ALLERGYDETECTOR,Allergy Detection Ontology.
Amino Acid Ontology ,AMINO-ACID,46,1,7/2/10,https://bioportal.bioontology.org/ontologies/AMINO-ACID,An ontology of amino acids and their properties
Ancestry Ontology ,ANCESTRO,541,,4/24/15,https://bioportal.bioontology.org/ontologies/ANCESTRO,The Ancestry Ontology (Ancestro) provides a systematic description of the ancestry concepts used in the NHGRI-EBI Catalog of published genome-wide association studies
Asthma Ontology ,AO,289,,2/23/17,https://bioportal.bioontology.org/ontologies/AO,Asthma ontology
Computer Cluster ,APACOMPUTER,114,,4/22/15,https://bioportal.bioontology.org/ontologies/APACOMPUTER,APA Computer Cluster
Disorders cluster ,APADISORDERS,822,,1/11/15,https://bioportal.bioontology.org/ontologies/APADISORDERS,"APA Disorders cluster, owls loaded from urls."
Educational Cluster ,APAEDUCLUSTER,509,,1/11/15,https://bioportal.bioontology.org/ontologies/APAEDUCLUSTER,"APA Educational Cluster, URI based ontology load"
APA Neuro Cluster ,APANEUROCLUSTER,501,,1/12/15,https://bioportal.bioontology.org/ontologies/APANEUROCLUSTER,APA Neuropsychology and Neurology Cluster
APA Occupational and Employment cluster ,APAOCUEMPLOY,448,2,1/12/15,https://bioportal.bioontology.org/ontologies/APAOCUEMPLOY,APA Occupational and Employment Cluster
