Classify,Study type,Full Name
Imaging,3D DESI imaging MS,3-Dimensional Desorption Electrospray Ionization imaging MS (3D DESI imaging MS)
MS,3D LAESI imaging MS,3-Dimensional Laser Ablation Electrospray Ionization imaging MS
MS,3D MALDI imaging MS,3-Dimensional Matrix Assisted Laser Desorption/Ionization Imaging MS
MS,3D MALDI imaging MS simulation,3-Dimensional Matrix Assisted Laser Desorption/Ionization Imaging MS simulation
Direct Infusion,CE-TOF-MS,Capillary Electrophoresis Time-Of-Flight MS
Direct Infusion,DI-FT-ICR-MS,Direct Infusion Fourier Transform Ion Cyclotron Resonance MS
Direct Infusion,DI-FT-ICR-MS/MS,Direct Infusion Fourier Transform Ion Cyclotron Resonance Tandem MS
Direct Infusion,DI-TQ-MS,Direct Infusion Triple Quadrupole MS
Direct Infusion,DI-TQ-MS/MS,Direct Infusion Triple Quadrupole Tandem MS
Direct Infusion,DI-LTQ-MS,Direct Infusion Linear Trap Quadrupole MS
Direct Infusion,DI-LTQ-MS/MS,Direct Infusion Linear Trap Quadrupole Tandem MS
Direct Infusion,FIA-LTQ-MS,Flow Injection Analysis Linear Trap Quadrupole MS
Direct Infusion,FIA-LTQ-MS/MS,Flow Injection Analysis Linear Trap Quadrupole Tandem MS
Direct Infusion,FIA-MS,Flow Injection Analysis MS
Direct Infusion,FIA-MS/MS,Flow Injection Analysis Tandem MS
Direct Infusion,FIA-QTOF-MS,Flow Injection Analysis Quadrupole Time-Of-Flight MS
Direct Infusion,FIA-QTOF-MS/MS,Flow Injection Analysis Quadrupole Time-Of-Flight Tandem MS
Direct Infusion,FIA-TQ-MS,Flow Injection Analysis Triple Quadrupole MS
Direct Infusion,FIA-TQ-MS/MS,Flow Injection Analysis Triple Quadrupole Tandem MS
GC-MS,GC-FID,Gas Chromatography Flame Ionisation Detector
GC-MS,GC-LTQ-MS,Gas Chromatography Linear Trap Quadrupole MS
GC-MS,GC-QIT-MS,Gas Chromatography Quadrupole Ion Trap MS
