STUDY	BIOENTITY	PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG	ANNOTATOR	ANNOTATION_DATE
study_1	metabo_1	factor	2'-deoxyadenosine	http://purl.obolibrary.org/obo/CHEBI_17256	Jiakang Chang	28/09/2018 12:00
study_2	metabo_2	factor	A-549 cell	http://purl.obolibrary.org/obo/BTO_0000018	Zoe May Pendlington	01/10/2018 12:00
study_3	metabo_3	factor	A-549 cellwhole organism	http://www.ebi.ac.uk/efo/EFO_0001086	Zoe May Pendlington	01/10/2018 12:00
study_4	metabo_4	factor	A2780 cell	http://www.ebi.ac.uk/efo/EFO_0006362	Zoe May Pendlington	01/10/2018 12:00
study_5	metabo_5	factor	A549	http://www.ebi.ac.uk/efo/EFO_0001086	Zoe May Pendlington	01/10/2018 12:00
study_6	metabo_6	factor	Achillea millefolium	http://purl.obolibrary.org/obo/NCIT_C74311	Jiakang Chang	28/09/2018 12:00
study_7	metabo_7	factor	Acorus calamus	http://purl.obolibrary.org/obo/NCIT_C72221	Jiakang Chang	28/09/2018 12:00
study_8	metabo_8	factor	Acromyrmex octospinosus	http://purl.obolibrary.org/obo/NCBITaxon_64783	Jiakang Chang	28/09/2018 12:00
study_9	metabo_9	factor	Acropora	http://purl.obolibrary.org/obo/NCBITaxon_6127	Jiakang Chang	28/09/2018 12:00
study_10	metabo_10	factor	Acropora aspera	http://purl.obolibrary.org/obo/NCBITaxon_140238	Jiakang Chang	28/09/2018 12:00
study_11	metabo_11	factor	adipose tissue	http://purl.obolibrary.org/obo/UBERON_0001013	Zoe May Pendlington	01/10/2018 12:00
study_12	metabo_12	factor	Aedes albopictus	http://purl.obolibrary.org/obo/NCBITaxon_7160	Zoe May Pendlington	01/10/2018 12:00
study_13	metabo_13	factor	Aegopodium podagraria	http://purl.obolibrary.org/obo/NCBITaxon_40902	Jiakang Chang	28/09/2018 12:00
study_14	metabo_14	factor	aerial part	http://www.ebi.ac.uk/efo/EFO_0001901	Zoe May Pendlington	01/10/2018 12:00
study_15	metabo_15	factor	Aerva lanata	http://purl.obolibrary.org/obo/NCBITaxon_292353	Jiakang Chang	28/09/2018 12:00
study_16	metabo_16	factor	Agave americana	http://purl.obolibrary.org/obo/NCIT_C72228	Jiakang Chang	28/09/2018 12:00
study_17	metabo_17	factor	Ailuropoda melanoleuca	http://purl.obolibrary.org/obo/NCBITaxon_9646	Jiakang Chang	28/09/2018 12:00
study_18	metabo_18	factor	Alopecurus pratensis	http://purl.obolibrary.org/obo/NCBITaxon_15304	Jiakang Chang	28/09/2018 12:00
study_19	metabo_19	factor	Althaea officinalis	http://purl.obolibrary.org/obo/NCBITaxon_145745	Jiakang Chang	28/09/2018 12:00
study_20	metabo_20	factor	Anethum graveolens	http://purl.obolibrary.org/obo/NCBITaxon_40922	Jiakang Chang	28/09/2018 12:00
study_21	metabo_21	factor	Angelica archangelica	http://purl.obolibrary.org/obo/NCBITaxon_40949	Jiakang Chang	28/09/2018 12:00
study_22	metabo_22	factor	Anopheles gambiae	http://purl.obolibrary.org/obo/NCBITaxon_7165	Zoe May Pendlington	01/10/2018 12:00
study_23	metabo_23	factor	anther	http://purl.obolibrary.org/obo/PO_0009066	Zoe May Pendlington	01/10/2018 12:00
study_24	metabo_24	factor	Anthoxanthum odoratum	http://purl.obolibrary.org/obo/NCBITaxon_29661	Jiakang Chang	28/09/2018 12:00
study_25	metabo_25	factor	Aphis gossypii	http://purl.obolibrary.org/obo/NCBITaxon_80765	Jiakang Chang	28/09/2018 12:00
study_26	metabo_26	factor	Apis cerana	http://purl.obolibrary.org/obo/NCBITaxon_7461	Zoe May Pendlington	01/10/2018 12:00
study_27	metabo_27	factor	Aquatica lateralis	http://purl.obolibrary.org/obo/NCBITaxon_7052	Jiakang Chang	28/09/2018 12:00
study_28	metabo_28	factor	Aqueous Humor	http://purl.obolibrary.org/obo/NCIT_C13190	Jiakang Chang	28/09/2018 12:00
study_29	metabo_29	factor	Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	Zoe May Pendlington	01/10/2018 12:00
study_30	metabo_30	factor	Arachis hypogaea	http://purl.obolibrary.org/obo/NCBITaxon_3818	Zoe May Pendlington	01/10/2018 12:00
study_31	metabo_31	factor	Aralia elata	http://purl.obolibrary.org/obo/NCBITaxon_82095	Jiakang Chang	28/09/2018 12:00
study_32	metabo_32	factor	Arctium lappa	http://purl.obolibrary.org/obo/NCBITaxon_4217	Jiakang Chang	28/09/2018 12:00
study_33	metabo_33	factor	Aronia melanocarpa	http://purl.obolibrary.org/obo/NCBITaxon_661339	Jiakang Chang	28/09/2018 12:00
study_34	metabo_34	factor	ARPE-19 cell	http://www.ebi.ac.uk/efo/EFO_0006271	Zoe May Pendlington	01/10/2018 12:00
study_35	metabo_35	factor	Arrhenatherum elatius	http://purl.obolibrary.org/obo/NCBITaxon_52139	Jiakang Chang	28/09/2018 12:00
study_36	metabo_36	factor	Artemisia absinthium	http://purl.obolibrary.org/obo/NCBITaxon_72332	Jiakang Chang	28/09/2018 12:00
study_37	metabo_37	factor	Artificial sputum medium	http://purl.obolibrary.org/obo/NCIT_C85504	Jiakang Chang	28/09/2018 12:00
study_38	metabo_38	factor	Asarum europaeum	http://purl.obolibrary.org/obo/NCBITaxon_49456	Jiakang Chang	28/09/2018 12:00
study_39	metabo_39	factor	Aspergillus fumigatus	http://purl.obolibrary.org/obo/NCBITaxon_746128	Zoe May Pendlington	01/10/2018 12:00
study_40	metabo_40	factor	Astragalus mongholicus	http://purl.obolibrary.org/obo/NCBITaxon_119829	Jiakang Chang	28/09/2018 12:00
