studyID	factor
MTBLS1	Gender
MTBLS1	Metabolic syndrome
MTBLS2	genotype
MTBLS2	replicate
MTBLS3	gene knockout
MTBLS4	blood plasma
MTBLS5	CarbonDioxide_Quantity_after_initiation
MTBLS5	CarbonDioxide_Quantity_after_01d
MTBLS6	Sample type
MTBLS6	Spike in volume
MTBLS6	Gap Penalty
MTBLS6	Retention Time Modulation
MTBLS6	Threshold
MTBLS6	Min Number Ions
MTBLS6	Relative Intensity
MTBLS6	Skewing
MTBLS6	Window
MTBLS7	Container_after_initiation
MTBLS7	Container_after_14d
MTBLS7	Plants/Container_Quantity_after_14d
MTBLS7	Total Light_100pc_after_initiation
MTBLS7	Total Light_0pc_after_initiation
MTBLS7	Total Light_100pc_after_07d
MTBLS7	Total Light_0pc_after_07d
MTBLS7	Total Light_100pc_after_28d
MTBLS7	Total Light_0pc_after_28d
MTBLS7	Medium_after_initiation
MTBLS7	Medium_after_14d
MTBLS8	nutrient
MTBLS8	growth rate
MTBLS9	Compound
MTBLS9	Time point
MTBLS9	Batch
MTBLS9	Replicate
MTBLS9	Metabolite source
MTBLS10	Timepoint
MTBLS10	Treatment
MTBLS11	Container_after_initiation
MTBLS11	Container_after_14d
MTBLS11	Plants/Container_Quantity_after_14d
MTBLS11	Total Light_100pc_after_initiation
MTBLS11	Total Light_0pc_after_initiation
MTBLS11	Total Light_100pc_after_07d
MTBLS11	Total Light_0pc_after_07d
MTBLS11	Total Light_100pc_after_28d
MTBLS11	Total Light_0pc_after_28d
MTBLS11	Medium_after_initiation
MTBLS11	Medium_after_14d
MTBLS12	Container_after_initiation
MTBLS12	Container_after_14d
MTBLS12	Plants/Container_Quantity_after_14d
MTBLS12	Total Light_100pc_after_initiation
MTBLS12	Total Light_0pc_after_initiation
MTBLS12	Total Light_100pc_after_07d
MTBLS12	Total Light_0pc_after_07d
MTBLS12	Medium_after_initiation
MTBLS12	Medium_after_14d
MTBLS13	Container_after_initiation
MTBLS13	Container_after_14d
MTBLS13	Plants/Container_Quantity_after_14d
