studyID	organismPart
MTBLS1	urine
MTBLS2	rosette leaf
MTBLS3	whole organism
MTBLS4	blood plasma
MTBLS5	whole organism
MTBLS6	fetal serum
MTBLS6	mixture
MTBLS7	leaf
MTBLS8	whole organism
MTBLS9	renal epithelial cell
MTBLS10	leaf
MTBLS11	leaf
MTBLS12	leaf
MTBLS13	leaf
MTBLS14	whole plant
MTBLS14	whole plant
MTBLS14	whole plant
MTBLS14	whole plant
MTBLS14	whole plant
MTBLS14	whole plant
MTBLS14	whole plant
MTBLS15	whole plant
MTBLS15	whole plant
MTBLS15	whole plant
MTBLS15	whole plant
MTBLS15	whole plant
MTBLS15	whole plant
MTBLS15	whole plant
MTBLS16	whole plant
MTBLS16	whole plant
MTBLS16	whole plant
MTBLS16	whole plant
MTBLS16	whole plant
MTBLS16	whole plant
MTBLS17	blood serum
MTBLS18	rosette leaf
MTBLS19	blood serum
MTBLS20	mixture
MTBLS20	solvent
MTBLS20	urine
MTBLS21	caryopsis
MTBLS22	rosette leaf
MTBLS23	RAW-264.7 cell
MTBLS24	urine
MTBLS25	urine
MTBLS26	hepatocyte
MTBLS27	blood serum
MTBLS27	solvent
MTBLS27	mixture
MTBLS28	urine
MTBLS29	pure substance
MTBLS29	EFO:whole organism
MTBLS30	liver
MTBLS31	Bronchoalveolar Lavage Fluid
MTBLS32	Bronchoalveolar Lavage Fluid
MTBLS33	Bronchoalveolar Lavage Fluid
MTBLS34	Bronchoalveolar Lavage Fluid
MTBLS35	whole organism
MTBLS36	solvent
MTBLS36	fruit
MTBLS37	whole organism
MTBLS38	pure substance
MTBLS39	berry
MTBLS40	aerial part
MTBLS40	pure substance
MTBLS41	rosette leaf
MTBLS42	rosette leaf
MTBLS43	shoot system
MTBLS44	shoot system
MTBLS45	root
MTBLS45	pure substance
MTBLS46	blood plasma
MTBLS47	aerial part
MTBLS47	pure substance
MTBLS48	blood serum
MTBLS49	solvent
MTBLS49	whole organism
MTBLS50	BTO:blood plasma
MTBLS51	BTO:blood plasma
MTBLS52	leaf
MTBLS53	glucose
MTBLS53	monocyte
MTBLS54	shoot system
MTBLS55	Wine
MTBLS56	Fruit
MTBLS57	aerial part
MTBLS58	epididymis
MTBLS59	mixture
MTBLS59	mesocarp and exocarp
MTBLS60	blood serum
MTBLS61	blood plasma
MTBLS61	HEK-293 cell
MTBLS62	leaf
MTBLS63	leaf
MTBLS64	leaf
MTBLS65	leaf
MTBLS66	leaf
MTBLS67	whole organism
MTBLS68	leaf
MTBLS69	flower stalk
MTBLS70	Stalk
MTBLS71	urine
MTBLS72	water
MTBLS72	solvent
MTBLS72	blood plasma
MTBLS73	blank
MTBLS73	mixture
MTBLS73	fruit
MTBLS74	rosette leaf
MTBLS75	whole organism
MTBLS76	blood plasma
MTBLS76	blank
MTBLS76	blank
MTBLS77	blood plasma
MTBLS78	
MTBLS79	right ventricle
MTBLS79	blank
MTBLS79	right ventricle
MTBLS79	right ventricle
MTBLS80	
MTBLS81	hepatocyte
MTBLS82	
MTBLS83	blood plasma
MTBLS84	
MTBLS85	berry
MTBLS85	pure substance
MTBLS86	leaf
MTBLS86	pure substance
MTBLS87	blood
MTBLS87	whole organism
MTBLS88	blood
MTBLS89	blood plasma
MTBLS90	blood serum
MTBLS91	whole organism
MTBLS91	solvent
MTBLS92	blood serum
MTBLS93	blood serum
MTBLS94	rosette
MTBLS95	exometabolome
MTBLS96	feces
MTBLS97	blood serum
MTBLS98	blood
MTBLS98	blood
MTBLS98	mixture
MTBLS99	fruit
MTBLS100	saliva
MTBLS101	urine
MTBLS102	BTO:A-549 cell/EFO:whole organism
MTBLS103	blood serum
MTBLS104	SK-N-BE(2) cell
MTBLS105	blood plasma
MTBLS106	HEK-293 cell
MTBLS107	fruit
MTBLS108	fruit
MTBLS109	fruit
MTBLS110	fruit
MTBLS111	fruit
MTBLS112	spike
MTBLS113	wax ester
MTBLS113	whole organism
MTBLS114	blood serum
MTBLS115	endometabolome
MTBLS116	endometabolome
MTBLS116	endometabolome
MTBLS116	endometabolome
MTBLS116	endometabolome
MTBLS116	endometabolome
MTBLS117	hypocotyl
MTBLS117	BTO:hypocotyl/EFO:whole organism
MTBLS118	BTO:hypocotyl/EFO:whole organism
MTBLS118	hypocotyl
MTBLS119	twig
MTBLS120	seed
MTBLS121	
MTBLS122	
MTBLS123	blood serum
MTBLS124	blood plasma
MTBLS125	blood
MTBLS126	blood
MTBLS127	Hep-G2 cell
MTBLS127	C2C12 cell
MTBLS128	blank
MTBLS128	whole organism
MTBLS129	seedling
MTBLS130	
MTBLS131	pericarp
MTBLS132	pericarp
MTBLS133	mixture
MTBLS134	mixture
MTBLS135	
MTBLS136	blood serum
MTBLS137	leaf
MTBLS138	
MTBLS139	
MTBLS140	pure substance
MTBLS140	renal proximal tubule
MTBLS141	root
MTBLS142	pure substance
MTBLS143	liver
MTBLS144	exometabolome
MTBLS145	gastrocnemius
MTBLS146	blood plasma
MTBLS147	blood plasma
MTBLS148	urine
MTBLS149	urine
MTBLS150	ovarian serous adenocarcinoma cell line
MTBLS151	leaf
MTBLS152	ovarian serous adenocarcinoma cell line
MTBLS153	Wheat ears
MTBLS154	endometabolome
MTBLS155	endometabolome
MTBLS156	A2780 cell
MTBLS157	endometabolome
MTBLS158	
MTBLS159	
MTBLS160	hydroponic plant culture media
MTBLS160	exometabolome
MTBLS161	blood serum
MTBLS162	blood plasma
MTBLS162	blank
MTBLS163	blood plasma
MTBLS163	mixture
MTBLS164	urine
MTBLS165	milk
MTBLS166	urine
MTBLS167	berry
