ACC	StudySize	Status	Releasedate	SubmissionDate	UserName	Technique	AccShort	StudyID	UpdateDate	nmr_size	ms_size	Empty?	150
MTBLS1	156053504.0	Public	14/02/2012	14/02/2012	Reza Salek	NMR	1.0	1540096.0	02/11/2017	156053504.0	0.0	201,202.00	201202.0
MTBLS2	6666780672.0	Public	22/05/2012	22/05/2012	Steffen Neumann	UPLC-QTOF-MS	2.0	557056.0	29/01/2016	0.0	6666780672.0	201,205.00	201205.0
MTBLS3	219037696.0	Public	14/02/2012	14/02/2012	Reza Salek	GC-Q-MS	3.0	1572864.0	03/12/2015	0.0	219037696.0	201,202.00	201202.0
MTBLS4	3655090176.0	Public	14/02/2012	14/02/2012	Albert Koulman	UPLC-LTQ-MS	4.0	1605632.0	14/02/2012	0.0	3655090176.0	201,202.00	201202.0
MTBLS5	1381347328.0	Public	14/09/2015	11/09/2015	Joachim Kopka	GC-TOF-MS	5.0	131072.0	22/03/2017	0.0	1381347328.0	201,509.00	201509.0
MTBLS6	274178048.0	Public	29/03/2012	29/03/2012	Sean O'Callaghan	GC-Q-MS	6.0	163840.0	03/12/2015	0.0	274178048.0	201,203.00	201203.0
MTBLS7	4478205952.0	Public	14/09/2015	11/09/2015	Joachim Kopka	GC-TOF-MS	7.0	196608.0	22/03/2017	0.0	4478205952.0	201,509.00	201509.0
MTBLS8	5249470464.0	Public	19/04/2012	19/04/2012	Juan Castrillo	GC-TOF-MS	8.0	262144.0	04/12/2015	0.0	5249470464.0	201,204.00	201204.0
MTBLS9	1728512.0	Submitted	18/09/2017	18/09/2017	James Ellis	NMR	9.0	9.0	20/09/2018	1728512.0	0.0	201,709.00	201709.0
MTBLS10	189255680.0	Public	14/08/2012	14/08/2012	Steffen Neumann	HPLC-QTOF-MS	10.0	1015808.0	05/11/2015	0.0	189255680.0	201,208.00	201208.0
MTBLS11	4240379904.0	Public	14/09/2015	11/09/2015	Joachim Kopka	GC-TOF-MS	11.0	14254080.0	22/03/2017	0.0	4240379904.0	201,509.00	201509.0
MTBLS12	2734366720.0	Public	14/09/2015	11/09/2015	Joachim Kopka	GC-TOF-MS	12.0	14286848.0	22/03/2017	0.0	2734366720.0	201,509.00	201509.0
MTBLS13	3288973312.0	Public	14/09/2015	11/09/2015	Joachim Kopka	GC-TOF-MS	13.0	14319616.0	22/03/2017	0.0	3288973312.0	201,509.00	201509.0
MTBLS14	3789283328.0	Public	14/09/2015	11/09/2015	Joachim Kopka	GC-TOF-MS	14.0	14352384.0	22/03/2017	0.0	3789283328.0	201,509.00	201509.0
MTBLS15	3750002688.0	Public	14/09/2015	11/09/2015	Joachim Kopka	GC-TOF-MS	15.0	14385152.0	22/03/2017	0.0	3750002688.0	201,509.00	201509.0
MTBLS16	3276328960.0	Public	14/09/2015	11/09/2015	Joachim Kopka	GC-TOF-MS	16.0	14417920.0	22/03/2017	0.0	3276328960.0	201,509.00	201509.0
MTBLS17	29612474368.0	Public	30/06/2013	11/06/2013	Jinlian Wang, Habtom Ressom	UPLC-QTOF-MS	17.0	3276800.0	04/12/2015	0.0	29612474368.0	201,306.00	201306.0
MTBLS18	65653792768.0	In Review	31/10/2018	08/06/2015	Steffen Neumann	UPLC-QTOF-MS	18.0	8126464.0	02/11/2017	0.0	65653792768.0	201,810.00	201506.0
MTBLS18	65653792768.0	In Review	31/10/2018	08/06/2015	Steffen Neumann	UPLC-DAD	18.0	8126464.0	02/11/2017	0.0	65653792768.0	201,810.00	201506.0
MTBLS19	9793167360.0	Public	30/06/2013	11/06/2013	Jinlian Wang, Habtom Ressom	UPLC-QTOF-MS	19.0	3244032.0	04/12/2015	0.0	9793167360.0	201,306.00	201306.0
MTBLS20	4900081664.0	Public	26/07/2013	06/08/2012	Christophe Junot	FIA-LTQ-MS/MS	20.0	3735552.0	04/12/2015	0.0	4900081664.0	201,307.00	201208.0
MTBLS20	4900081664.0	Public	26/07/2013	06/08/2012	Christophe Junot	UPLC-LTQ-MS/MS	20.0	3735552.0	04/12/2015	0.0	4900081664.0	201,307.00	201208.0
MTBLS21	980504576.0	Public	21/09/2012	21/09/2012	Nils Hoffmann	GC-QIT-MS	21.0	1114112.0	11/12/2015	0.0	980504576.0	201,209.00	201209.0
MTBLS22	1177702400.0	Public	14/09/2015	11/09/2015	Joachim Kopka	GC-TOF-MS	22.0	14450688.0	22/03/2017	0.0	1177702400.0	201,509.00	201509.0
MTBLS23	222404608.0	Public	05/09/2012	24/08/2012	Tom Metz	GC-Q-MS	23.0	1081344.0	17/12/2015	0.0	222404608.0	201,209.00	201208.0
MTBLS24	66895872.0	Public	21/10/2012	21/10/2012	Helena Zacharias	NMR	24.0	1146880.0	17/12/2015	66895872.0	0.0	201,210.00	201210.0
MTBLS25	37134336.0	Public	10/01/2013	03/01/2013	Matthias Klein	NMR	25.0	1769472.0	17/12/2015	37134336.0	0.0	201,301.00	201301.0
MTBLS26	4894842880.0	Public	19/08/2014	14/11/2012	Harald Köfeler	UPLC-FT-ICR-MS	26.0	7471104.0	01/02/2016	0.0	4894842880.0	201,408.00	201211.0
MTBLS26	4894842880.0	Public	19/08/2014	14/11/2012	Harald Köfeler	UPLC-LTQ-FT-MS	26.0	7471104.0	01/02/2016	0.0	4894842880.0	201,408.00	201211.0
MTBLS27	1301581824.0	Public	15/12/2016	24/10/2014	Faith Coldren, Aalim Weljie	GC-TOF-MS	27.0	9043968.0	15/12/2016	0.0	1301581824.0	201,612.00	201410.0
MTBLS28	124000000000.0	Public	06/05/2014	18/01/2013	Majda Haznadar	UPLC-QTOF-MS	28.0	1376256.0	17/02/2016	0.0	124000000000.0	201,405.00	201301.0
MTBLS29	1347997696.0	Public	22/05/2013	10/05/2013	Alfredo Ibanez	MALDI-TOF/TOF-MS	29.0	3112960.0	03/02/2017	0.0	1347997696.0	201,305.00	201305.0
MTBLS30	5021696.0	Submitted	10/04/2013	08/02/2013	Reza Salek	GC-Q-MS	30.0	2457600.0	20/09/2018	0.0	5021696.0	201,304.00	201302.0
MTBLS30	5021696.0	Submitted	10/04/2013	08/02/2013	Reza Salek	FIA-TQ-MS/MS	30.0	2457600.0	20/09/2018	0.0	5021696.0	201,304.00	201302.0
MTBLS31	90824704.0	Public	09/05/2013	09/05/2013	Peter Askovich	LC-LTQ-MS/MS	31.0	2949120.0	26/01/2018	0.0	90824704.0	201,305.00	201305.0
MTBLS32	139784192.0	Public	30/05/2013	09/05/2013	Peter Askovich	LC-LTQ-MS/MS	32.0	2981888.0	26/01/2018	0.0	139784192.0	201,305.00	201305.0
MTBLS33	37199872.0	Public	30/05/2013	09/05/2013	Peter Askovich	LC-LTQ-MS/MS	33.0	3014656.0	26/01/2018	0.0	37199872.0	201,305.00	201305.0
MTBLS34	30871552.0	Public	30/05/2013	09/05/2013	Peter Askovich	LC-LTQ-MS/MS	34.0	3047424.0	26/01/2018	0.0	30871552.0	201,305.00	201305.0
MTBLS35	461561856.0	Public	02/05/2013	01/05/2013	Tom Metz	GC-Q-MS	35.0	2752512.0	02/06/2016	0.0	461561856.0	201,305.00	201305.0
MTBLS36	73498771456.0	Public	07/02/2014	07/02/2014	Stephan Beisken	UPLC-LTQ-MS/MS	36.0	4620288.0	18/10/2017	0.0	73498771456.0	201,402.00	201402.0
MTBLS37	29518516224.0	Public	08/05/2013	28/03/2013	Nils Hoffmann	GCxGC-TOF-MS	37.0	2162688.0	02/06/2016	0.0	29518516224.0	201,305.00	201303.0
MTBLS38	10901356544.0	Public	07/02/2014	07/02/2014	Stephan Beisken	UPLC-LTQ-MS/MS	38.0	4653056.0	02/06/2016	0.0	10901356544.0	201,402.00	201402.0
MTBLS39	59518976.0	Public	04/11/2013	12/04/2013	Silvia Dal Santo	HPLC-LTQ-MS/MS	39.0	4292608.0	24/01/2017	0.0	59518976.0	201,311.00	201304.0
MTBLS40	5492596736.0	Public	01/03/2014	15/04/2013	Atsushi Fukushima	GC-TOF-MS	40.0	3440640.0	06/06/2016	0.0	5492596736.0	201,403.00	201304.0
