studyID	type	iri	targeted?
MTBLS1	diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0000400	target
MTBLS1	metabolic syndrome	http://www.ebi.ac.uk/efo/EFO_0000195	target
MTBLS1	Urine global profiling		un-mapped
MTBLS1	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS1	Human Study Subject	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70665	target
MTBLS1	untargeted metabolites		untargeted
MTBLS2	Plant Metabolomics		un-mapped
MTBLS2	Comparative LC/MS-based profiling		un-mapped
MTBLS2	Pathway Elucidation		un-mapped
MTBLS2	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS2	untargeted metabolites		untargeted
MTBLS3	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS3	Free amino acid target analysis		un-mapped
MTBLS3	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS3	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics	target
MTBLS3	obesity	http://www.ebi.ac.uk/efo/EFO_0001073	target
MTBLS3	targeted metabolites		un-mapped
MTBLS4	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS4	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics	target
MTBLS4	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS4	open profiling		un-mapped
MTBLS4	targeted metabolites		un-mapped
MTBLS4	phospholipid	http://purl.obolibrary.org/obo/CHEBI_16247	target
MTBLS5	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115	target
MTBLS5	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396	target
MTBLS5	untargeted metabolites		untargeted
MTBLS5	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS6	PyMS		un-mapped
MTBLS6	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS6	data processing software	http://purl.obolibrary.org/obo/MS_1001457	target
MTBLS6	Validation	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16237	target
MTBLS7	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115	target
MTBLS7	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396	target
MTBLS7	untargeted metabolites		untargeted
MTBLS7	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS7	bolting stage	http://purl.obolibrary.org/obo/BTO_0004531	target
MTBLS8	untargeted metabolites		untargeted
MTBLS8	systems biology representation	http://purl.obolibrary.org/obo/SBO_0000000	target
MTBLS8	endometabolome		un-mapped
MTBLS8	exometabolome		un-mapped
MTBLS8	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS10	time series design	http://www.ebi.ac.uk/efo/EFO_0001779	target
MTBLS10	injury design	http://www.ebi.ac.uk/efo/EFO_0001760	target
MTBLS10	Plant metabolomics		un-mapped
MTBLS10	correlation study objective	http://purl.obolibrary.org/obo/OBI_0200196	target
MTBLS10	targeted metabolites		un-mapped
MTBLS10	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796	target
MTBLS11	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115	target
MTBLS11	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396	target
MTBLS11	untargeted metabolites		untargeted
MTBLS11	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS11	bolting stage	http://purl.obolibrary.org/obo/BTO_0004531	target
MTBLS12	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115	target
MTBLS12	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396	target
MTBLS12	untargeted metabolites		untargeted
MTBLS12	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
