studyID	target	untargeted	un-mapped	Targeted	Un-mapped	Untargeted
MTBLS1				4.0	1.0	1.0
MTBLS2				1.0	3.0	1.0
MTBLS3				4.0	2.0	
MTBLS4				4.0	2.0	
MTBLS5				3.0		1.0
MTBLS6				3.0	1.0	
MTBLS7				4.0		1.0
MTBLS8				2.0	2.0	1.0
MTBLS10				4.0	2.0	
MTBLS11				4.0		1.0
MTBLS12				4.0		1.0
MTBLS13				4.0		1.0
MTBLS14				4.0		1.0
MTBLS15				4.0		1.0
MTBLS16				4.0		1.0
MTBLS17				3.0		1.0
MTBLS18				6.0	1.0	1.0
MTBLS19				3.0		1.0
MTBLS20				3.0	2.0	1.0
MTBLS21				3.0	2.0	
MTBLS22				4.0		1.0
MTBLS23				1.0	4.0	1.0
MTBLS24				2.0		1.0
MTBLS25				2.0	2.0	
MTBLS26				6.0	2.0	1.0
MTBLS27				4.0		
MTBLS28				3.0	1.0	1.0
MTBLS29				2.0	1.0	1.0
MTBLS31				4.0	1.0	
MTBLS32				4.0	1.0	
MTBLS33				4.0	1.0	
MTBLS34				4.0	1.0	
MTBLS35				2.0	2.0	1.0
MTBLS36				3.0		1.0
MTBLS37				2.0		1.0
MTBLS38				2.0	2.0	
MTBLS39				2.0		1.0
MTBLS40				2.0		1.0
MTBLS41				4.0		1.0
MTBLS42				4.0		1.0
MTBLS43				4.0		1.0
MTBLS44				4.0		1.0
MTBLS45				3.0		1.0
MTBLS46				4.0		1.0
MTBLS47				2.0		1.0
MTBLS48				2.0	1.0	1.0
MTBLS49				3.0		1.0
MTBLS52				4.0		1.0
MTBLS53				4.0	1.0	
MTBLS54				4.0		1.0
MTBLS55				3.0	1.0	1.0
MTBLS56				4.0		1.0
MTBLS57				5.0		1.0
MTBLS58				2.0	1.0	1.0
MTBLS59				4.0	1.0	
MTBLS61				4.0	1.0	
MTBLS67				4.0		1.0
MTBLS69				5.0	1.0	
MTBLS71				3.0	2.0	
MTBLS72				7.0	3.0	
MTBLS73				3.0	2.0	
MTBLS74				3.0		
MTBLS75				9.0	1.0	
MTBLS76				2.0	2.0	1.0
MTBLS77				5.0	1.0	1.0
MTBLS79				2.0	6.0	
MTBLS81				5.0	2.0	1.0
MTBLS83				1.0	1.0	
MTBLS85				3.0	1.0	1.0
MTBLS86				3.0	1.0	1.0
MTBLS87				2.0	1.0	1.0
MTBLS88				2.0	1.0	1.0
MTBLS89				1.0	1.0	1.0
MTBLS90				3.0		1.0
MTBLS91				3.0	1.0	1.0
MTBLS92				4.0		1.0
MTBLS93				4.0		1.0
MTBLS94				4.0	3.0	1.0
MTBLS95				5.0		1.0
MTBLS96				5.0		1.0
MTBLS98				2.0	2.0	1.0
MTBLS99				1.0		1.0
MTBLS100				1.0	1.0	1.0
MTBLS102				5.0		1.0
MTBLS103				3.0	2.0	1.0
MTBLS104				6.0	1.0	1.0
MTBLS105				4.0	1.0	1.0
MTBLS106					7.0	
MTBLS107				3.0	2.0	
MTBLS108				3.0	2.0	
MTBLS109				3.0	2.0	
MTBLS110				3.0	2.0	
MTBLS111				3.0	2.0	
MTBLS112				6.0	1.0	
MTBLS113				4.0		1.0
MTBLS114				3.0		1.0
MTBLS115				2.0	1.0	1.0
MTBLS116				5.0	1.0	1.0
MTBLS117				2.0	2.0	1.0
MTBLS118				2.0	1.0	1.0
MTBLS119				3.0		1.0
MTBLS120				3.0		1.0
MTBLS123				3.0	1.0	
MTBLS124				3.0		1.0
MTBLS125				4.0	1.0	1.0
MTBLS126				3.0	1.0	1.0
MTBLS127				4.0		1.0
MTBLS128				4.0	1.0	
MTBLS129				7.0		1.0
MTBLS131				1.0	2.0	
MTBLS132				1.0	2.0	
MTBLS133				1.0	2.0	
MTBLS134				1.0	2.0	
MTBLS135				1.0	3.0	
MTBLS136				5.0	1.0	1.0
MTBLS137				2.0	1.0	1.0
MTBLS140				4.0		1.0
MTBLS142				7.0		
MTBLS143				7.0	2.0	1.0
MTBLS144				4.0		1.0
MTBLS145				3.0	1.0	
MTBLS146				5.0	3.0	
MTBLS147				2.0	1.0	
MTBLS148				2.0		1.0
MTBLS149				5.0	3.0	1.0
MTBLS150				4.0	1.0	1.0
MTBLS151				2.0	1.0	1.0
MTBLS152				4.0	1.0	1.0
MTBLS154				4.0	1.0	1.0
MTBLS155				4.0	1.0	1.0
MTBLS156				2.0	2.0	1.0
MTBLS157				3.0	1.0	1.0
MTBLS158				1.0	1.0	
MTBLS160				3.0	1.0	1.0
MTBLS161				6.0		1.0
MTBLS162				3.0	2.0	
MTBLS163				4.0	1.0	
MTBLS164				5.0		1.0
MTBLS165				2.0		1.0
MTBLS166				3.0		1.0
MTBLS168				2.0		1.0
MTBLS169				3.0		
MTBLS170				3.0		1.0
MTBLS171				3.0		1.0
MTBLS172				3.0		1.0
MTBLS173				4.0	2.0	
MTBLS174				4.0	1.0	1.0
MTBLS175				4.0	2.0	1.0
MTBLS176				2.0	1.0	
MTBLS177				4.0	1.0	
MTBLS178				2.0	1.0	1.0
MTBLS179				3.0	1.0	1.0
MTBLS182				2.0	2.0	
MTBLS183				6.0	2.0	
MTBLS184				6.0	2.0	
MTBLS185				3.0		1.0
MTBLS187				5.0	1.0	1.0
MTBLS188				2.0		1.0
MTBLS189				1.0	3.0	1.0
MTBLS191				4.0	2.0	1.0
MTBLS193				1.0	1.0	1.0
MTBLS194				1.0	3.0	
MTBLS196				5.0		1.0
MTBLS197				8.0	2.0	1.0
MTBLS198				2.0	2.0	1.0
MTBLS200				5.0		1.0
MTBLS203				5.0	1.0	1.0
MTBLS208				3.0	1.0	1.0
MTBLS209				3.0	2.0	1.0
MTBLS210				3.0	1.0	1.0
MTBLS212				5.0	2.0	1.0
MTBLS213				2.0	1.0	1.0
MTBLS214				4.0	2.0	1.0
MTBLS215				2.0	1.0	
MTBLS216				3.0		1.0
MTBLS217				3.0		1.0
MTBLS218				3.0		1.0
MTBLS219				3.0		1.0
MTBLS225				5.0	1.0	
MTBLS226				4.0		1.0
MTBLS227				4.0		1.0
MTBLS228				1.0	2.0	1.0
MTBLS229				1.0	2.0	1.0
MTBLS230				3.0		1.0
MTBLS233				1.0	1.0	1.0
MTBLS234				2.0	1.0	
MTBLS235				1.0	2.0	
MTBLS237				5.0		1.0
MTBLS240				4.0	1.0	1.0
MTBLS241				4.0	1.0	
MTBLS242				3.0		1.0
MTBLS243				5.0	1.0	
MTBLS244				4.0	3.0	
MTBLS247				2.0	2.0	1.0
MTBLS249				3.0	3.0	
MTBLS253				4.0	1.0	
MTBLS256				4.0		1.0
MTBLS259					3.0	1.0
MTBLS260				3.0	1.0	1.0
MTBLS261				4.0	1.0	
MTBLS263				3.0	1.0	1.0
MTBLS264				3.0	1.0	1.0
MTBLS265				2.0	1.0	1.0
MTBLS266				2.0	1.0	1.0
MTBLS267				2.0	1.0	1.0
MTBLS269				3.0	1.0	1.0
MTBLS270				3.0		1.0
MTBLS272				7.0		1.0
MTBLS273				2.0		1.0
MTBLS274				5.0		1.0
MTBLS275				3.0	1.0	1.0
MTBLS276				3.0	1.0	
MTBLS277				5.0	1.0	1.0
MTBLS278				3.0	1.0	1.0
MTBLS279				3.0	1.0	
MTBLS280				4.0	1.0	
MTBLS281				4.0	2.0	1.0
MTBLS282				2.0		1.0
MTBLS283				4.0	3.0	1.0
MTBLS286				2.0		1.0
MTBLS287				2.0		1.0
MTBLS288				2.0		1.0
MTBLS289				2.0		1.0
