ID	entity	url
MTBLS189	Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090
MTBLS497	Staphylococcus aureus	http://purl.obolibrary.org/obo/NCBITaxon_1280
MTBLS496	Campylobacter jejuni	http://purl.obolibrary.org/obo/NCBITaxon_192222
MTBLS497	Pseudomonas aeruginosa	http://purl.obolibrary.org/obo/NCBITaxon_287
MTBLS129	Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702
MTBLS312	Brassica napus	http://purl.obolibrary.org/obo/NCBITaxon_3708
MTBLS550	Brassica oleracea	http://purl.obolibrary.org/obo/NCBITaxon_3712
MTBLS576	Sinorhizobium meliloti	http://purl.obolibrary.org/obo/NCBITaxon_382
MTBLS531	Glycine max	http://purl.obolibrary.org/obo/NCBITaxon_3847
MTBLS112	Triticum aestivum	http://purl.obolibrary.org/obo/NCBITaxon_4565
MTBLS393	Escherichia coli BL21(DE3)	http://purl.obolibrary.org/obo/NCBITaxon_469008
MTBLS497	Escherichia coli	http://purl.obolibrary.org/obo/NCBITaxon_562
MTBLS443	Leishmania mexicana	http://purl.obolibrary.org/obo/NCBITaxon_5665
MTBLS443	Leishmania infantum	http://purl.obolibrary.org/obo/NCBITaxon_5671
MTBLS497	Klebsiella pneumoniae	http://purl.obolibrary.org/obo/NCBITaxon_573
MTBLS3	Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239
MTBLS101	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
MTBLS196	Mustela putorius furo	http://purl.obolibrary.org/obo/NCBITaxon_9669
MTBLS123	Sus scrofa domesticus	http://purl.obolibrary.org/obo/NCBITaxon_9825
MTBLS463	Pseudomonas fluorescens	http://purl.bioontology.org/ontology/NCBITAXON_205922
MTBLS493	Cricetulus griseus	http://purl.bioontology.org/ontology/NCBITAXON/10029
MTBLS125	Mus musculus	http://purl.bioontology.org/ontology/NCBITAXON/10090
MTBLS483	Rattus	http://purl.bioontology.org/ontology/NCBITAXON/10114
MTBLS114	Rattus norvegicus	http://purl.bioontology.org/ontology/NCBITAXON/10116
MTBLS313	Rattus rattus	http://purl.bioontology.org/ontology/NCBITAXON/10117
MTBLS409	Lysiphlebia japonica	http://purl.bioontology.org/ontology/NCBITAXON/104022
MTBLS116	Porites lobata	http://purl.bioontology.org/ontology/NCBITAXON/104759
MTBLS544	Knautia arvensis	http://purl.bioontology.org/ontology/NCBITAXON/105271
