StudyID,term
MTBLS1,Metabolic Syndrome
MTBLS1,Gender
MTBLS2,Replicate
MTBLS2,Genotype
MTBLS3,Gene Knockout
MTBLS4,Blood Plasma
MTBLS5,Carbondioxide_Quantity_After_01D
MTBLS5,Carbondioxide_Quantity_After_Initiation
MTBLS6,Relative Intensity
MTBLS6,Gap Penalty
MTBLS6,Spike In Volume
MTBLS6,Sample Type
MTBLS6,Retention Time Modulation
MTBLS6,Min Number Ions
MTBLS6,Skewing
MTBLS6,Threshold
MTBLS6,Window
MTBLS7,Medium_After_14D
MTBLS7,Total Light_100Pc_After_Initiation
MTBLS7,Container_After_14D
MTBLS7,Total Light_100Pc_After_07D
MTBLS7,Plants/Container_Quantity_After_14D
MTBLS7,Medium_After_Initiation
MTBLS7,Total Light_0Pc_After_Initiation
MTBLS7,Total Light_0Pc_After_28D
MTBLS7,Total Light_100Pc_After_28D
MTBLS7,Container_After_Initiation
MTBLS7,Total Light_0Pc_After_07D
MTBLS8,Growth Rate
MTBLS8,Nutrient
MTBLS9,Compound
MTBLS9,Time Point
MTBLS9,Replicate
MTBLS9,Metabolite Source
MTBLS9,Batch
MTBLS10,Timepoint
MTBLS10,Treatment
MTBLS11,Medium_After_14D
MTBLS11,Total Light_100Pc_After_Initiation
MTBLS11,Container_After_14D
MTBLS11,Total Light_100Pc_After_07D
MTBLS11,Plants/Container_Quantity_After_14D
MTBLS11,Medium_After_Initiation
MTBLS11,Total Light_0Pc_After_Initiation
MTBLS11,Total Light_0Pc_After_28D
MTBLS11,Total Light_100Pc_After_28D
MTBLS11,Container_After_Initiation
MTBLS11,Total Light_0Pc_After_07D
MTBLS12,Medium_After_14D
MTBLS12,Total Light_100Pc_After_Initiation
MTBLS12,Container_After_14D
MTBLS12,Total Light_100Pc_After_07D
MTBLS12,Plants/Container_Quantity_After_14D
MTBLS12,Medium_After_Initiation
MTBLS12,Total Light_0Pc_After_Initiation
MTBLS12,Container_After_Initiation
MTBLS12,Total Light_0Pc_After_07D
MTBLS13,Medium_After_14D
MTBLS13,Total Light_100Pc_After_Initiation
MTBLS13,Container_After_14D
MTBLS13,Total Light_100Pc_After_07D
MTBLS13,Plants/Container_Quantity_After_14D
MTBLS13,Medium_After_Initiation
MTBLS13,Total Light_0Pc_After_Initiation
MTBLS13,Container_After_Initiation
MTBLS13,Total Light_0Pc_After_07D
MTBLS14,Relativehumidity_After_04D
MTBLS14,Salt_Quantity_After_16D
MTBLS14,Total Light_On_After_04D
MTBLS14,Salt_Quantity_After_08D
MTBLS14,Container_After_04D
MTBLS14,Watering_After_04D
MTBLS14,Salt_Quantity_After_12D
MTBLS14,Salt_Quantity_After_Initiation
MTBLS14,Medium_After_Initiation
MTBLS14,Total Light_Off_After_04D
MTBLS14,Medium_After_04D
MTBLS14,Container_After_Initiation
MTBLS14,Temperature_After_04D
MTBLS15,Relativehumidity_After_04D
MTBLS15,Salt_Quantity_After_16D
MTBLS15,Total Light_On_After_04D
MTBLS15,Salt_Quantity_After_08D
MTBLS15,Container_After_04D
MTBLS15,Watering_After_04D
MTBLS15,Salt_Quantity_After_12D
MTBLS15,Salt_Quantity_After_Initiation
MTBLS15,Medium_After_Initiation
MTBLS15,Total Light_Off_After_04D
MTBLS15,Medium_After_04D
MTBLS15,Container_After_Initiation
MTBLS15,Temperature_After_04D
MTBLS16,Relativehumidity_After_04D
MTBLS16,Salt_Quantity_After_16D
MTBLS16,Total Light_On_After_04D
MTBLS16,Salt_Quantity_After_08D
MTBLS16,Container_After_04D
MTBLS16,Watering_After_04D
MTBLS16,Salt_Quantity_After_12D
MTBLS16,Salt_Quantity_After_Initiation
MTBLS16,Medium_After_Initiation
MTBLS16,Total Light_Off_After_04D
MTBLS16,Medium_After_04D
MTBLS16,Container_After_Initiation
MTBLS16,Temperature_After_04D
MTBLS17,Experiment
MTBLS17,Disease
MTBLS17,Injection
MTBLS18,Sampling Time
MTBLS18,Replicate
MTBLS18,Treatment
MTBLS18,Genotype
MTBLS19,Experiment
MTBLS19,Disease
MTBLS19,Batch
MTBLS20,Material Sample
MTBLS21,Co2 Concentration
MTBLS21,Cultivation Year
MTBLS22,Salt_Quantity_After_16D
MTBLS22,Salt_Quantity_After_08D
MTBLS22,Watering_After_Initiation
MTBLS22,Salt_Quantity_After_12D
