Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS308	" ""1"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""2"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""3"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""4"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""5"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""6"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""7"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""8"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""9"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""10"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""11"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""12"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""13"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""14"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""15"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""16"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""17"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""18"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""19"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""20"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""21"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""22"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""23"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""24"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""25"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""26"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""27"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""28"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""29"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""30"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""31"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""32"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""33"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""34"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""35"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""36"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""37"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""38"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""39"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""40"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""41"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
MTBLS308	" ""42"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107
