studyID	type	iri
MTBLS1	diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0000400
MTBLS1	metabolic syndrome	http://www.ebi.ac.uk/efo/EFO_0000195
MTBLS1	Urine global profiling	
MTBLS1	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS1	Human Study Subject	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70665
MTBLS1	untargeted metabolites	
MTBLS2	Plant Metabolomics	
MTBLS2	Comparative LC/MS-based profiling	
MTBLS2	Pathway Elucidation	
MTBLS2	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS2	untargeted metabolites	
MTBLS3	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS3	Free amino acid target analysis	
MTBLS3	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS3	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS3	obesity	http://www.ebi.ac.uk/efo/EFO_0001073
MTBLS3	targeted metabolites	
MTBLS4	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS4	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS4	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS4	open profiling	
MTBLS4	targeted metabolites	
MTBLS4	phospholipid	http://purl.obolibrary.org/obo/CHEBI_16247
MTBLS5	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115
MTBLS5	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396
MTBLS5	untargeted metabolites	
MTBLS5	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS6	PyMS	
MTBLS6	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS6	data processing software	http://purl.obolibrary.org/obo/MS_1001457
MTBLS6	Validation	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16237
MTBLS7	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115
MTBLS7	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396
MTBLS7	untargeted metabolites	
MTBLS7	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS7	bolting stage	http://purl.obolibrary.org/obo/BTO_0004531
MTBLS8	untargeted metabolites	
MTBLS8	systems biology representation	http://purl.obolibrary.org/obo/SBO_0000000
MTBLS8	endometabolome	
MTBLS8	exometabolome	
MTBLS8	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS10	time series design	http://www.ebi.ac.uk/efo/EFO_0001779
MTBLS10	injury design	http://www.ebi.ac.uk/efo/EFO_0001760
MTBLS10	Plant metabolomics	
MTBLS10	correlation study objective	http://purl.obolibrary.org/obo/OBI_0200196
MTBLS10	targeted metabolites	
MTBLS10	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796
MTBLS11	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115
MTBLS11	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396
MTBLS11	untargeted metabolites	
MTBLS11	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS11	bolting stage	http://purl.obolibrary.org/obo/BTO_0004531
MTBLS12	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115
MTBLS12	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396
MTBLS12	untargeted metabolites	
MTBLS12	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS12	bolting stage	http://purl.obolibrary.org/obo/BTO_0004531
MTBLS13	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115
MTBLS13	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396
MTBLS13	untargeted metabolites	
MTBLS13	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS13	bolting stage	http://purl.obolibrary.org/obo/BTO_0004531
MTBLS14	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115
MTBLS14	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396
MTBLS14	untargeted metabolites	
MTBLS14	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS14	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651
MTBLS15	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115
MTBLS15	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396
MTBLS15	untargeted metabolites	
MTBLS15	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS15	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651
MTBLS16	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115
MTBLS16	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396
MTBLS16	untargeted metabolites	
MTBLS16	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS16	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651
MTBLS17	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182
MTBLS17	cirrhosis of liver	http://www.ebi.ac.uk/efo/EFO_0001422
MTBLS17	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS17	untargeted metabolites	
MTBLS18	chemically induced mutation	http://www.ebi.ac.uk/efo/EFO_0000370
MTBLS18	Phytophthora infestans 90128	
MTBLS18	time series design	http://www.ebi.ac.uk/efo/EFO_0001779
MTBLS18	disease state design	http://www.ebi.ac.uk/efo/EFO_0001756
MTBLS18	infection	http://www.ebi.ac.uk/efo/EFO_0000544
MTBLS18	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS18	diode array detector	http://purl.obolibrary.org/obo/CHMO_0002503
MTBLS18	untargeted metabolites	
MTBLS19	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182
MTBLS19	cirrhosis of liver	http://www.ebi.ac.uk/efo/EFO_0001422
MTBLS19	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS19	untargeted metabolites	
MTBLS20	untargeted metabolites	
MTBLS20	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS20	urinary metabolome	
MTBLS20	spectral library building	
MTBLS20	flow injection analysis	http://purl.obolibrary.org/obo/MS_1000058
MTBLS20	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS21	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS21	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS21	Peak detection	http://edamontology.org/operation_3215
MTBLS21	multiple peak alignment	
MTBLS21	multiple alignment performance reference generation	
MTBLS22	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115
MTBLS22	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396
MTBLS22	untargeted metabolites	
MTBLS22	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS22	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651
MTBLS23	untargeted metabolites	
MTBLS23	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS23	immunometabolism	
MTBLS23	endometabolome	
MTBLS23	genome-scale modeling	
MTBLS23	metabolic network reconstruction	
MTBLS24	Acute kidney injury	http://purl.obolibrary.org/obo/HP_0001919
